Country,Clicks,Impressions,CTR,Position
United States,53,15957,0.33%,24.79
Canada,1,73,1.37%,7.23
United Kingdom,0,127,0%,15.96
India,0,49,0%,28.1
Brazil,0,36,0%,32.08
Mexico,0,23,0%,24.26
Spain,0,23,0%,30.57
Bahamas,0,22,0%,11.14
Vietnam,0,19,0%,28.95
Russia,0,18,0%,18.56
Germany,0,17,0%,32.12
Indonesia,0,17,0%,32.76
Italy,0,15,0%,21.93
Turkey,0,15,0%,23.93
Philippines,0,15,0%,37.07
Puerto Rico,0,12,0%,7.25
Singapore,0,12,0%,16
South Korea,0,12,0%,23.08
Argentina,0,12,0%,27.75
Jamaica,0,11,0%,10.82
Denmark,0,11,0%,11.55
France,0,11,0%,14.45
Colombia,0,11,0%,33
Australia,0,11,0%,47.18
Ukraine,0,10,0%,19.4
Saudi Arabia,0,9,0%,33.56
Bangladesh,0,8,0%,17.12
Bulgaria,0,8,0%,27.75
Thailand,0,8,0%,29.12
Israel,0,6,0%,24.5
Japan,0,6,0%,45.67
Norway,0,5,0%,2.8
Venezuela,0,5,0%,18.4
Malaysia,0,5,0%,18.8
Egypt,0,5,0%,20
Serbia,0,5,0%,34
Dominican Republic,0,5,0%,48.6
Honduras,0,4,0%,5.25
Netherlands,0,4,0%,16
South Africa,0,4,0%,20.75
Pakistan,0,4,0%,22.25
Morocco,0,4,0%,38.75
Uganda,0,3,0%,1
Ecuador,0,3,0%,8.33
Sweden,0,3,0%,8.33
Panama,0,3,0%,11
United Arab Emirates,0,3,0%,20.67
Romania,0,3,0%,27
Guatemala,0,3,0%,49.33
Croatia,0,2,0%,1
New Zealand,0,2,0%,1
Chile,0,2,0%,3
Bermuda,0,2,0%,4.5
Trinidad & Tobago,0,2,0%,5.5
Cayman Islands,0,2,0%,10
Austria,0,2,0%,12.5
Poland,0,2,0%,22.5
Oman,0,2,0%,27
Belgium,0,2,0%,30.5
Algeria,0,2,0%,31.5
Peru,0,2,0%,40
Hungary,0,2,0%,40.5
Belize,0,2,0%,41
Switzerland,0,1,0%,1
Grenada,0,1,0%,1
Ireland,0,1,0%,3
Bolivia,0,1,0%,4
Nepal,0,1,0%,5
Turks & Caicos Islands,0,1,0%,5
Kosovo,0,1,0%,5
Albania,0,1,0%,6
Dominica,0,1,0%,7
Taiwan,0,1,0%,9
Hong Kong,0,1,0%,12
Cyprus,0,1,0%,13
Slovakia,0,1,0%,19
Tunisia,0,1,0%,20
Paraguay,0,1,0%,21
Suriname,0,1,0%,21
Syria,0,1,0%,21
Uzbekistan,0,1,0%,21
Bhutan,0,1,0%,24
Jordan,0,1,0%,28
Mongolia,0,1,0%,30
Myanmar (Burma),0,1,0%,33
Belarus,0,1,0%,38
Tanzania,0,1,0%,41
Macedonia,0,1,0%,45
Senegal,0,1,0%,45
Czechia,0,1,0%,46
Guernsey,0,1,0%,49
Estonia,0,1,0%,68
Equatorial Guinea,0,1,0%,97
