Date,Clicks,Impressions,CTR,Position
2026-02-24,0,5,0%,38.2
2026-02-25,0,2,0%,42.5
2026-02-26,0,2,0%,47.5
2026-02-27,0,2,0%,59
2026-02-28,0,3,0%,53
2026-03-01,0,4,0%,55.2
2026-03-02,0,9,0%,49.9
2026-03-03,0,3,0%,54
2026-03-04,0,2,0%,42
2026-03-05,0,2,0%,42.5
2026-03-06,0,5,0%,30
2026-03-07,0,2,0%,39.5
2026-03-08,0,6,0%,43
2026-03-09,0,13,0%,40.2
2026-03-10,0,8,0%,23.8
2026-03-11,0,4,0%,26.2
2026-03-12,0,3,0%,30.3
2026-03-13,0,2,0%,40
2026-03-14,0,2,0%,39
2026-03-15,0,6,0%,54.5
2026-03-16,0,7,0%,41.3
2026-03-17,0,8,0%,39.9
2026-03-18,0,2,0%,40
2026-03-19,0,7,0%,35.7
2026-03-20,0,2,0%,36.5
2026-03-21,0,5,0%,46.8
2026-03-22,0,3,0%,35.3
2026-03-23,0,10,0%,47.5
2026-03-24,0,11,0%,39.3
2026-03-25,0,6,0%,31.2
2026-03-26,0,2,0%,38.5
2026-03-27,0,4,0%,17
2026-03-28,0,3,0%,17
2026-03-29,0,6,0%,30.7
2026-03-30,0,11,0%,30.7
2026-03-31,0,5,0%,15.6
2026-04-01,0,1,0%,11
2026-04-02,0,2,0%,41.5
2026-04-03,0,2,0%,40
2026-04-04,0,2,0%,41.5
2026-04-05,0,3,0%,40.3
2026-04-06,0,9,0%,38.3
2026-04-07,0,7,0%,17.4
2026-04-08,0,6,0%,23.3
2026-04-09,0,2,0%,39.5
2026-04-10,0,4,0%,14.8
2026-04-11,0,4,0%,1
2026-04-12,0,4,0%,28.5
2026-04-13,0,11,0%,27.7
2026-04-14,0,2,0%,26.5
2026-04-15,0,2,0%,13.5
2026-04-16,0,4,0%,19
2026-04-17,0,2,0%,26
2026-04-18,0,2,0%,26.5
2026-04-19,0,2,0%,26.5
2026-04-20,0,8,0%,34.9
2026-04-21,0,2,0%,23.5
2026-04-22,0,4,0%,29
2026-04-23,0,2,0%,22.5
2026-04-24,0,2,0%,21.5
2026-04-25,0,3,0%,25.3
2026-04-26,0,4,0%,22.5
2026-04-27,0,8,0%,26.8
2026-04-28,0,6,0%,37.3
2026-04-29,0,2,0%,42.5
2026-04-30,0,1,0%,27
2026-05-01,0,2,0%,36.5
2026-05-02,0,7,0%,26.1
2026-05-03,0,3,0%,33.7
2026-05-04,0,11,0%,28.4
2026-05-05,0,5,0%,24.6
2026-05-06,0,5,0%,30
2026-05-07,0,4,0%,27
2026-05-08,0,6,0%,27
2026-05-09,0,5,0%,25.6
2026-05-10,0,3,0%,33
2026-05-11,0,11,0%,34.4
2026-05-12,0,13,0%,44.9
2026-05-13,0,3,0%,34.3
2026-05-14,0,2,0%,37
2026-05-15,0,3,0%,27
2026-05-16,0,4,0%,41.5
2026-05-17,0,3,0%,33
2026-05-18,0,12,0%,42.9
2026-05-19,0,3,0%,25.3
2026-05-20,0,3,0%,30.3
2026-05-21,0,3,0%,38
2026-05-22,0,3,0%,34.7
2026-05-23,0,4,0%,28.2
