Country,Clicks,Impressions,CTR,Position
United States,0,331,0%,35.37
India,0,7,0%,19.43
Turkey,0,7,0%,28.71
France,0,6,0%,17
Spain,0,4,0%,34.25
Colombia,0,3,0%,25.33
Malaysia,0,3,0%,34.33
Ecuador,0,3,0%,35.33
Brazil,0,3,0%,43.67
Jamaica,0,2,0%,11.5
Vietnam,0,2,0%,14
Israel,0,2,0%,22
Indonesia,0,2,0%,26.5
Argentina,0,2,0%,33.5
Algeria,0,2,0%,33.5
Saudi Arabia,0,2,0%,40
Venezuela,0,2,0%,41.5
Italy,0,1,0%,1
Russia,0,1,0%,2
Paraguay,0,1,0%,15
Ireland,0,1,0%,19
Congo - Kinshasa,0,1,0%,20
Costa Rica,0,1,0%,20
Kazakhstan,0,1,0%,20
Kenya,0,1,0%,21
Kuwait,0,1,0%,21
Lebanon,0,1,0%,21
Qatar,0,1,0%,21
St. Vincent & Grenadines,0,1,0%,23
Pakistan,0,1,0%,24
Slovakia,0,1,0%,24
Germany,0,1,0%,25
United Kingdom,0,1,0%,25
Poland,0,1,0%,25
Serbia,0,1,0%,30
Nepal,0,1,0%,34
Bangladesh,0,1,0%,39
Mexico,0,1,0%,39
Georgia,0,1,0%,42
Bulgaria,0,1,0%,47
Philippines,0,1,0%,49
Bolivia,0,1,0%,61
