Date,Clicks,Impressions,CTR,Position
2026-02-24,0,117,0%,39.6
2026-02-25,0,121,0%,38.9
2026-02-26,0,72,0%,38.9
2026-02-27,0,40,0%,35.7
2026-02-28,1,67,1.49%,37.8
2026-03-01,0,72,0%,43.7
2026-03-02,0,118,0%,44.9
2026-03-03,0,92,0%,40
2026-03-04,1,142,0.7%,32.5
2026-03-05,1,123,0.81%,33.7
2026-03-06,0,109,0%,28.8
2026-03-07,0,105,0%,29.5
2026-03-08,0,125,0%,32.9
2026-03-09,0,114,0%,28.9
2026-03-10,0,126,0%,31
2026-03-11,0,98,0%,34.5
2026-03-12,0,109,0%,30.2
2026-03-13,0,96,0%,29.7
2026-03-14,0,93,0%,32.3
2026-03-15,0,90,0%,40.2
2026-03-16,0,80,0%,43.7
2026-03-17,0,68,0%,25.9
2026-03-18,0,46,0%,18.2
2026-03-19,0,59,0%,24.6
2026-03-20,0,52,0%,28.6
2026-03-21,0,68,0%,30.7
2026-03-22,0,42,0%,21.2
2026-03-23,1,54,1.85%,27.9
2026-03-24,1,64,1.56%,30
2026-03-25,0,52,0%,26.3
2026-03-26,0,38,0%,27
2026-03-27,0,49,0%,26.4
2026-03-28,0,65,0%,26.3
2026-03-29,0,67,0%,32.9
2026-03-30,0,94,0%,33.8
2026-03-31,0,57,0%,27.9
2026-04-01,0,63,0%,33
2026-04-02,0,103,0%,31
2026-04-03,0,62,0%,25.5
2026-04-04,0,87,0%,28
2026-04-05,1,72,1.39%,31
2026-04-06,0,115,0%,36.4
2026-04-07,0,101,0%,30.6
2026-04-08,0,89,0%,34.1
2026-04-09,0,74,0%,35.8
2026-04-10,0,66,0%,31.2
2026-04-11,0,78,0%,33.5
2026-04-12,0,77,0%,32.9
2026-04-13,0,89,0%,38.7
2026-04-14,0,76,0%,33.3
2026-04-15,0,91,0%,36.9
2026-04-16,3,83,3.61%,30.8
2026-04-17,0,97,0%,26.2
2026-04-18,0,94,0%,27.9
2026-04-19,0,114,0%,28.9
2026-04-20,0,89,0%,35.7
2026-04-21,1,71,1.41%,31
2026-04-22,0,85,0%,25.8
2026-04-23,0,133,0%,20.2
2026-04-24,0,87,0%,21
2026-04-25,0,83,0%,26.6
2026-04-26,0,99,0%,26.4
2026-04-27,0,178,0%,21.8
2026-04-28,0,87,0%,32.9
2026-04-29,0,83,0%,35.9
2026-04-30,0,55,0%,31.9
2026-05-01,1,64,1.56%,29.6
2026-05-02,0,93,0%,35.8
2026-05-03,0,68,0%,36.5
2026-05-04,0,96,0%,39.7
2026-05-05,0,84,0%,28.8
2026-05-06,0,82,0%,36
2026-05-07,0,84,0%,35
2026-05-08,1,94,1.06%,30.8
2026-05-09,0,76,0%,31.7
2026-05-10,0,70,0%,29.9
2026-05-11,0,81,0%,40.5
2026-05-12,0,89,0%,39.3
2026-05-13,0,74,0%,35.6
2026-05-14,1,95,1.05%,30.5
2026-05-15,0,64,0%,29
2026-05-16,0,67,0%,33.9
2026-05-17,0,50,0%,39.2
2026-05-18,0,83,0%,35
2026-05-19,0,72,0%,31.1
2026-05-20,0,59,0%,33.2
2026-05-21,0,73,0%,30.8
2026-05-22,0,53,0%,30.2
2026-05-23,1,63,1.59%,24.9
