Country,Clicks,Impressions,CTR,Position
United States,1,6067,0.02%,34.25
India,0,44,0%,36.11
Brazil,0,37,0%,39.92
United Kingdom,0,29,0%,33.55
Turkey,0,24,0%,31.17
Spain,0,18,0%,40.44
Canada,0,17,0%,31.88
Colombia,0,17,0%,34.06
France,0,16,0%,39.12
Vietnam,0,14,0%,34.64
Saudi Arabia,0,14,0%,36.93
Philippines,0,14,0%,40.71
Germany,0,13,0%,35.62
Argentina,0,13,0%,38.46
Bangladesh,0,12,0%,31.67
Indonesia,0,12,0%,33.92
Malaysia,0,11,0%,33.36
Pakistan,0,10,0%,38.8
Mexico,0,10,0%,38.9
Algeria,0,9,0%,44.67
Egypt,0,7,0%,34
South Africa,0,7,0%,36.57
Morocco,0,7,0%,37
Russia,0,7,0%,39.71
Italy,0,6,0%,22.5
Tunisia,0,6,0%,40
United Arab Emirates,0,6,0%,49.67
Ukraine,0,5,0%,28
Iraq,0,5,0%,31.4
Israel,0,5,0%,34.8
Venezuela,0,5,0%,42.4
Ecuador,0,4,0%,31.5
Chile,0,4,0%,32
Albania,0,4,0%,32.5
South Korea,0,4,0%,34.25
Sweden,0,4,0%,42.25
Palestine,0,4,0%,46.75
Kazakhstan,0,4,0%,71.5
Jamaica,0,3,0%,22.33
Lebanon,0,3,0%,27.67
Poland,0,3,0%,28.67
Qatar,0,3,0%,30.33
Costa Rica,0,3,0%,33.67
Nepal,0,3,0%,34
Kenya,0,3,0%,34.33
Paraguay,0,3,0%,37
Portugal,0,3,0%,54.33
Uruguay,0,3,0%,54.67
Bahrain,0,3,0%,60
Ghana,0,2,0%,15.5
Slovakia,0,2,0%,24
Côte d’Ivoire,0,2,0%,30.5
Jordan,0,2,0%,32.5
Bolivia,0,2,0%,53
Honduras,0,2,0%,53.5
Syria,0,2,0%,56.5
Austria,0,2,0%,57
Netherlands,0,2,0%,59.5
Belgium,0,1,0%,17
Ireland,0,1,0%,19
Peru,0,1,0%,19
Congo - Kinshasa,0,1,0%,20
Moldova,0,1,0%,20
Kuwait,0,1,0%,21
Bhutan,0,1,0%,22
Hong Kong,0,1,0%,23
Malta,0,1,0%,23
St. Vincent & Grenadines,0,1,0%,23
Taiwan,0,1,0%,27
Greece,0,1,0%,30
Serbia,0,1,0%,30
Andorra,0,1,0%,37
Bosnia & Herzegovina,0,1,0%,40
Australia,0,1,0%,41
Georgia,0,1,0%,42
Latvia,0,1,0%,44
Luxembourg,0,1,0%,45
New Zealand,0,1,0%,45
Bulgaria,0,1,0%,47
Uganda,0,1,0%,54
Uzbekistan,0,1,0%,54
Romania,0,1,0%,55
Nigeria,0,1,0%,76
Guatemala,0,1,0%,82
