Date,Clicks,Impressions,CTR,Position
2026-04-22,0,9,0%,9.2
2026-04-23,0,10,0%,8.2
2026-04-24,0,8,0%,8.8
2026-04-25,0,12,0%,7.7
2026-04-26,0,16,0%,7.3
2026-04-27,0,11,0%,9
2026-04-28,0,10,0%,8.7
2026-04-29,0,9,0%,8.7
2026-04-30,0,9,0%,9
2026-05-01,0,11,0%,6.8
2026-05-02,0,10,0%,8
2026-05-03,0,13,0%,8.5
2026-05-04,0,16,0%,8.1
2026-05-05,0,11,0%,8.1
2026-05-06,0,9,0%,9.2
2026-05-07,0,17,0%,7.6
2026-05-08,0,10,0%,8.5
2026-05-09,0,15,0%,8.6
2026-05-10,0,8,0%,9.1
2026-05-11,0,13,0%,8
2026-05-12,0,8,0%,10.6
2026-05-13,0,18,0%,9.7
2026-05-14,0,16,0%,12
2026-05-15,0,12,0%,10.3
2026-05-16,0,17,0%,10.1
2026-05-17,0,15,0%,10.2
2026-05-18,0,10,0%,10.7
2026-05-19,0,18,0%,8.6
2026-05-20,0,16,0%,7.9
2026-05-21,0,11,0%,9.3
2026-05-22,0,13,0%,7.2
2026-05-23,0,14,0%,8.9
2026-05-24,0,15,0%,9.8
2026-05-25,0,12,0%,9.4
2026-05-26,0,9,0%,8.9
2026-05-27,0,22,0%,8
2026-05-28,0,11,0%,8.3
2026-05-29,0,15,0%,9.3
2026-05-30,0,14,0%,9
2026-05-31,0,16,0%,8.7
2026-06-01,0,16,0%,7.8
2026-06-02,0,9,0%,16
2026-06-03,0,9,0%,6.4
2026-06-04,0,22,0%,6.8
2026-06-05,0,6,0%,5
2026-06-06,0,12,0%,6.8
2026-06-07,0,10,0%,6.9
2026-06-08,0,12,0%,5.5
2026-06-09,0,9,0%,5.2
2026-06-10,0,10,0%,5.5
2026-06-11,0,11,0%,6.1
2026-06-12,0,10,0%,8
2026-06-13,0,13,0%,7
2026-06-14,0,13,0%,8
2026-06-15,0,10,0%,9
2026-06-16,0,13,0%,8.1
2026-06-17,0,12,0%,8.2
2026-06-18,0,11,0%,9.5
2026-06-19,0,9,0%,8.9
2026-06-20,0,11,0%,9.4
2026-06-21,0,9,0%,8.6
2026-06-22,0,11,0%,8.9
2026-06-23,0,10,0%,10.1
2026-06-24,0,10,0%,10.3
2026-06-25,0,7,0%,9.4
2026-06-26,0,13,0%,9.8
2026-06-27,0,8,0%,9.1
2026-06-28,0,12,0%,8.6
2026-06-29,0,11,0%,8.9
2026-06-30,0,20,0%,8.2
2026-07-01,0,16,0%,7.3
2026-07-02,0,14,0%,8.7
2026-07-03,0,11,0%,6.7
2026-07-04,0,17,0%,9.8
2026-07-05,0,11,0%,7.1
2026-07-06,0,9,0%,8.8
2026-07-07,0,8,0%,8.2
2026-07-08,0,9,0%,8.2
2026-07-09,0,7,0%,8.1
2026-07-10,0,8,0%,7
2026-07-11,0,9,0%,9.1
2026-07-12,0,12,0%,8.2
2026-07-13,0,9,0%,9.9
2026-07-14,0,12,0%,8.2
2026-07-15,0,3,0%,7
2026-07-16,0,14,0%,8
2026-07-17,0,6,0%,7
2026-07-18,0,9,0%,6.8
2026-07-19,0,11,0%,5.9
2026-07-20,0,13,0%,7.4
2026-07-21,1,12,8.33%,7
