Country,Clicks,Impressions,CTR,Position
United States,1,990,0.1%,8.08
United Kingdom,0,19,0%,8.42
Brazil,0,8,0%,14.5
Italy,0,5,0%,10.8
India,0,4,0%,15
Spain,0,3,0%,14.67
Indonesia,0,3,0%,15
Bangladesh,0,3,0%,15.33
Morocco,0,2,0%,5
South Korea,0,2,0%,13
Argentina,0,2,0%,14.5
Turkey,0,2,0%,14.5
Colombia,0,2,0%,15.5
Dominican Republic,0,2,0%,16
France,0,1,0%,6
Venezuela,0,1,0%,11
Norway,0,1,0%,13
Germany,0,1,0%,14
Greece,0,1,0%,14
Guatemala,0,1,0%,14
Sri Lanka,0,1,0%,14
Vietnam,0,1,0%,14
Algeria,0,1,0%,15
Egypt,0,1,0%,15
Ethiopia,0,1,0%,15
Portugal,0,1,0%,15
Romania,0,1,0%,15
Tunisia,0,1,0%,15
Kazakhstan,0,1,0%,16
Kenya,0,1,0%,16
Slovenia,0,1,0%,16
Kyrgyzstan,0,1,0%,17
Paraguay,0,1,0%,17
Uzbekistan,0,1,0%,18
Belarus,0,1,0%,19
