Date,Clicks,Impressions,CTR,Position
2026-04-22,0,54,0%,9.4
2026-04-23,0,60,0%,8.7
2026-04-24,0,102,0%,10.5
2026-04-25,0,65,0%,14.8
2026-04-26,0,67,0%,11.2
2026-04-27,0,57,0%,14.1
2026-04-28,0,58,0%,18.1
2026-04-29,0,65,0%,22.2
2026-04-30,0,43,0%,11.8
2026-05-01,0,40,0%,13.3
2026-05-02,0,56,0%,14.2
2026-05-03,0,65,0%,13.4
2026-05-04,0,96,0%,14.3
2026-05-05,0,47,0%,9.5
2026-05-06,0,46,0%,15.6
2026-05-07,0,78,0%,13.1
2026-05-08,0,121,0%,15.4
2026-05-09,0,102,0%,15.6
2026-05-10,0,107,0%,17.1
2026-05-11,0,69,0%,15.4
2026-05-12,0,65,0%,24.9
2026-05-13,0,60,0%,13.5
2026-05-14,0,101,0%,15.1
2026-05-15,0,83,0%,14.3
2026-05-16,0,99,0%,14.3
2026-05-17,0,166,0%,18.3
2026-05-18,0,69,0%,14.5
2026-05-19,0,79,0%,14.6
2026-05-20,0,76,0%,13.7
2026-05-21,0,67,0%,11.1
2026-05-22,0,89,0%,12.3
2026-05-23,0,96,0%,12.4
2026-05-24,0,147,0%,19
2026-05-25,0,44,0%,11.3
2026-05-26,0,53,0%,19.5
2026-05-27,0,57,0%,13.6
2026-05-28,0,48,0%,17.8
2026-05-29,0,65,0%,13.5
2026-05-30,0,62,0%,16.1
2026-05-31,0,163,0%,19.4
2026-06-01,0,55,0%,16
2026-06-02,0,44,0%,15.1
2026-06-03,0,51,0%,17.5
2026-06-04,0,73,0%,11.4
2026-06-05,0,68,0%,11.6
2026-06-06,0,92,0%,13.6
2026-06-07,0,187,0%,15.2
2026-06-08,0,64,0%,11.2
2026-06-09,0,76,0%,13.6
2026-06-10,1,85,1.18%,11.6
2026-06-11,0,50,0%,12.4
2026-06-12,0,92,0%,12.1
2026-06-13,0,91,0%,14.2
2026-06-14,0,198,0%,14.7
2026-06-15,0,53,0%,16.4
2026-06-16,0,82,0%,12.8
2026-06-17,0,74,0%,13
2026-06-18,0,77,0%,13.9
2026-06-19,0,108,0%,12.5
2026-06-20,0,132,0%,13.6
2026-06-21,0,207,0%,14.1
2026-06-22,0,69,0%,12.6
2026-06-23,0,76,0%,15.5
2026-06-24,0,75,0%,13.1
2026-06-25,0,55,0%,13.5
2026-06-26,0,87,0%,12.9
2026-06-27,0,94,0%,14.7
2026-06-28,0,202,0%,13.9
2026-06-29,0,85,0%,15
2026-06-30,1,85,1.18%,12.2
2026-07-01,0,76,0%,13.6
2026-07-02,0,56,0%,11.8
2026-07-03,0,98,0%,11.8
2026-07-04,0,131,0%,14.7
2026-07-05,0,206,0%,13
2026-07-06,0,85,0%,15.7
2026-07-07,0,69,0%,15.3
2026-07-08,0,76,0%,11.5
2026-07-09,0,65,0%,16.2
2026-07-10,0,104,0%,11.3
2026-07-11,0,85,0%,15
2026-07-12,0,198,0%,13.8
2026-07-13,0,87,0%,15.3
2026-07-14,0,65,0%,13.5
2026-07-15,0,55,0%,12.2
2026-07-16,0,75,0%,9.1
2026-07-17,0,80,0%,9.4
2026-07-18,0,60,0%,10.9
2026-07-19,0,279,0%,12.5
2026-07-20,0,66,0%,10
2026-07-21,1,76,1.32%,11.8
