Country,Clicks,Impressions,CTR,Position
United States,1,7211,0.01%,13.77
Pakistan,1,6,16.67%,13.33
Brazil,0,54,0%,17.57
United Kingdom,0,40,0%,10.53
India,0,32,0%,16.31
Spain,0,18,0%,14.67
Bangladesh,0,15,0%,16.07
Indonesia,0,14,0%,16.07
Colombia,0,13,0%,16.46
Vietnam,0,12,0%,16.17
Philippines,0,12,0%,22.83
Argentina,0,11,0%,19.36
Morocco,0,9,0%,13.22
Romania,0,9,0%,13.44
Turkey,0,9,0%,15.78
Germany,0,9,0%,19.22
Italy,0,8,0%,14
France,0,8,0%,17.38
South Korea,0,8,0%,17.38
Nepal,0,8,0%,17.62
Saudi Arabia,0,7,0%,16.86
Mexico,0,6,0%,15.83
Russia,0,6,0%,16.67
Iraq,0,5,0%,14.8
Venezuela,0,5,0%,16.2
Algeria,0,5,0%,17
Jordan,0,5,0%,17.8
Poland,0,5,0%,20
Kenya,0,5,0%,21.6
Thailand,0,4,0%,14.75
Malaysia,0,4,0%,15.75
Bahrain,0,4,0%,16.5
South Africa,0,4,0%,17.25
Norway,0,4,0%,17.5
Egypt,0,4,0%,19
Canada,0,4,0%,21.25
Czechia,0,4,0%,25.5
United Arab Emirates,0,3,0%,16
Kyrgyzstan,0,3,0%,17.33
Belgium,0,3,0%,19.33
Chile,0,3,0%,24.67
Dominican Republic,0,3,0%,24.67
Uruguay,0,2,0%,14.5
Guatemala,0,2,0%,15
Oman,0,2,0%,15.5
Bulgaria,0,2,0%,16
Côte d’Ivoire,0,2,0%,16
Ukraine,0,2,0%,16
Honduras,0,2,0%,16.5
Israel,0,2,0%,16.5
Kazakhstan,0,2,0%,17
Peru,0,2,0%,17
Uzbekistan,0,2,0%,17.5
Albania,0,2,0%,18
Latvia,0,1,0%,6
Bolivia,0,1,0%,13
Japan,0,1,0%,13
Greece,0,1,0%,14
Laos,0,1,0%,14
Sri Lanka,0,1,0%,14
Mongolia,0,1,0%,14
Costa Rica,0,1,0%,15
Ethiopia,0,1,0%,15
Nicaragua,0,1,0%,15
Portugal,0,1,0%,15
Tunisia,0,1,0%,15
Burkina Faso,0,1,0%,16
Denmark,0,1,0%,16
Palestine,0,1,0%,16
Slovakia,0,1,0%,16
Slovenia,0,1,0%,16
Botswana,0,1,0%,17
Jamaica,0,1,0%,17
Cambodia,0,1,0%,17
Panama,0,1,0%,17
Paraguay,0,1,0%,17
Senegal,0,1,0%,17
Taiwan,0,1,0%,17
Georgia,0,1,0%,18
Belarus,0,1,0%,19
Hungary,0,1,0%,27
