Date,Clicks,Impressions,CTR,Position
2026-02-24,0,180,0%,27.1
2026-02-25,0,150,0%,29
2026-02-26,0,109,0%,21.4
2026-02-27,0,105,0%,20.9
2026-02-28,0,119,0%,24.2
2026-03-01,0,98,0%,24.7
2026-03-02,1,128,0.78%,24.9
2026-03-03,0,158,0%,24.3
2026-03-04,0,130,0%,19.6
2026-03-05,0,134,0%,22.2
2026-03-06,1,120,0.83%,23.6
2026-03-07,0,120,0%,27.2
2026-03-08,0,171,0%,27.1
2026-03-09,1,188,0.53%,30.6
2026-03-10,0,195,0%,31.8
2026-03-11,1,159,0.63%,27.4
2026-03-12,2,142,1.41%,23.2
2026-03-13,1,151,0.66%,23.1
2026-03-14,0,139,0%,29.9
2026-03-15,1,274,0.36%,21.7
2026-03-16,2,222,0.9%,23.8
2026-03-17,0,173,0%,31.9
2026-03-18,1,161,0.62%,31.4
2026-03-19,3,165,1.82%,25.8
2026-03-20,1,126,0.79%,24.5
2026-03-21,0,123,0%,23
2026-03-22,0,129,0%,23.1
2026-03-23,1,140,0.71%,25
2026-03-24,0,137,0%,32.1
2026-03-25,0,460,0%,12.7
2026-03-26,0,696,0%,11.6
2026-03-27,2,211,0.95%,17.7
2026-03-28,0,161,0%,23.3
2026-03-29,0,159,0%,26.5
2026-03-30,1,186,0.54%,25
2026-03-31,0,170,0%,22.7
2026-04-01,0,167,0%,26
2026-04-02,0,157,0%,25.7
2026-04-03,0,121,0%,28.9
2026-04-04,0,149,0%,24.4
2026-04-05,0,125,0%,29.2
2026-04-06,1,143,0.7%,28.9
2026-04-07,0,176,0%,29.9
2026-04-08,1,131,0.76%,31
2026-04-09,1,139,0.72%,22.4
2026-04-10,1,124,0.81%,25.7
2026-04-11,0,145,0%,28
2026-04-12,0,156,0%,25.4
2026-04-13,1,185,0.54%,28.1
2026-04-14,1,172,0.58%,25.6
2026-04-15,1,151,0.66%,26.4
2026-04-16,1,160,0.62%,25.4
2026-04-17,0,146,0%,29.4
2026-04-18,0,146,0%,32.7
2026-04-19,1,161,0.62%,33.3
2026-04-20,0,158,0%,32.7
2026-04-21,0,156,0%,26.8
2026-04-22,0,157,0%,27.7
2026-04-23,1,178,0.56%,23.7
2026-04-24,1,231,0.43%,22.6
2026-04-25,0,290,0%,20.3
2026-04-26,1,265,0.38%,22.5
2026-04-27,0,206,0%,28.2
2026-04-28,0,147,0%,29.4
2026-04-29,0,161,0%,28.5
2026-04-30,0,171,0%,21.5
2026-05-01,1,121,0.83%,24.9
2026-05-02,0,164,0%,27.6
2026-05-03,1,168,0.6%,25.7
2026-05-04,0,158,0%,28.2
2026-05-05,1,154,0.65%,28
2026-05-06,1,170,0.59%,29.7
2026-05-07,0,135,0%,25.9
2026-05-08,0,143,0%,28.7
2026-05-09,0,167,0%,27.3
2026-05-10,0,133,0%,28.6
2026-05-11,0,169,0%,25
2026-05-12,1,172,0.58%,26.7
2026-05-13,1,166,0.6%,27.8
2026-05-14,0,150,0%,28.1
2026-05-15,0,138,0%,26.3
2026-05-16,0,147,0%,27.5
2026-05-17,0,154,0%,25.6
2026-05-18,0,193,0%,25
2026-05-19,0,169,0%,27.5
2026-05-20,0,155,0%,27.5
2026-05-21,0,145,0%,25.5
2026-05-22,0,147,0%,19.2
2026-05-23,0,161,0%,18.8
