Country,Clicks,Impressions,CTR,Position
United States,9,9770,0.09%,31.65
India,0,505,0%,11.85
Philippines,0,416,0%,7.49
United Kingdom,0,407,0%,11.07
Canada,0,285,0%,10.74
Australia,0,183,0%,9.42
South Africa,0,81,0%,8.48
United Arab Emirates,0,71,0%,10.77
Pakistan,0,71,0%,18.76
Turkey,0,44,0%,36.86
Saudi Arabia,0,40,0%,30.1
Brazil,0,39,0%,40.51
Spain,0,37,0%,25.03
New Zealand,0,32,0%,6.59
Mexico,0,28,0%,27.71
Germany,0,26,0%,29.73
France,0,24,0%,23.29
Indonesia,0,24,0%,35.04
Netherlands,0,22,0%,17.86
Ireland,0,22,0%,17.95
Argentina,0,19,0%,43.05
Malaysia,0,18,0%,21.06
Bangladesh,0,18,0%,33.94
Singapore,0,16,0%,7.88
Italy,0,16,0%,22.12
Morocco,0,16,0%,24.44
Iraq,0,16,0%,33.25
Lebanon,0,15,0%,11.93
Vietnam,0,15,0%,41.87
Chile,0,14,0%,52.07
Egypt,0,13,0%,18.62
Israel,0,13,0%,25.62
Nigeria,0,12,0%,10.17
Poland,0,12,0%,12.17
China,0,11,0%,3
Kuwait,0,11,0%,6.82
Norway,0,11,0%,14.64
Russia,0,11,0%,38.18
Colombia,0,11,0%,49.82
Kenya,0,10,0%,16.6
Japan,0,10,0%,20.4
Belgium,0,9,0%,13
Romania,0,9,0%,15.89
Thailand,0,9,0%,25.67
Costa Rica,0,9,0%,27.11
Denmark,0,8,0%,8.75
Jamaica,0,8,0%,13.12
Nepal,0,8,0%,31.88
Jordan,0,8,0%,32.12
Uruguay,0,8,0%,41.38
Sri Lanka,0,7,0%,6.57
Portugal,0,7,0%,7.71
Dominican Republic,0,7,0%,21.14
South Korea,0,7,0%,22.14
Sweden,0,7,0%,24.14
Czechia,0,6,0%,7.67
Austria,0,6,0%,9
Albania,0,6,0%,20.5
Qatar,0,5,0%,6
Puerto Rico,0,5,0%,7.8
Venezuela,0,5,0%,24
Uzbekistan,0,5,0%,36
Kazakhstan,0,4,0%,5.75
Belize,0,4,0%,7.75
Bulgaria,0,4,0%,8.5
Malta,0,4,0%,9
Guatemala,0,4,0%,14.5
Uganda,0,4,0%,15.75
Cyprus,0,4,0%,18.5
Serbia,0,4,0%,25.5
El Salvador,0,4,0%,31.75
Tunisia,0,4,0%,33.25
Ukraine,0,4,0%,47
Iran,0,3,0%,3.67
Bahrain,0,3,0%,6
Hong Kong,0,3,0%,8.33
Ghana,0,3,0%,8.67
Lithuania,0,3,0%,9
Finland,0,3,0%,9.67
Rwanda,0,3,0%,22
Libya,0,3,0%,25.33
Bolivia,0,3,0%,33.67
Peru,0,3,0%,36.33
Algeria,0,3,0%,39.33
Honduras,0,3,0%,43.67
Taiwan,0,2,0%,6.5
Croatia,0,2,0%,7
Jersey,0,2,0%,7
Papua New Guinea,0,2,0%,8
Georgia,0,2,0%,9
Trinidad & Tobago,0,2,0%,9
Gibraltar,0,2,0%,9.5
Greece,0,2,0%,9.5
U.S. Virgin Islands,0,2,0%,9.5
Armenia,0,2,0%,18
Panama,0,2,0%,28.5
Myanmar (Burma),0,2,0%,33.5
Bosnia & Herzegovina,0,2,0%,43.5
Hungary,0,2,0%,45
Ethiopia,0,2,0%,45.5
Congo - Kinshasa,0,2,0%,46.5
Martinique,0,1,0%,1
Suriname,0,1,0%,1
Gambia,0,1,0%,2
Slovakia,0,1,0%,2
Zambia,0,1,0%,4
Afghanistan,0,1,0%,5
Latvia,0,1,0%,6
Sierra Leone,0,1,0%,6
Zimbabwe,0,1,0%,6
Bahamas,0,1,0%,7
Mozambique,0,1,0%,7
Oman,0,1,0%,7
Slovenia,0,1,0%,7
Botswana,0,1,0%,8
Grenada,0,1,0%,8
Guyana,0,1,0%,8
St. Martin,0,1,0%,8
Bermuda,0,1,0%,9
Barbados,0,1,0%,9
Moldova,0,1,0%,9
Macedonia,0,1,0%,9
St. Vincent & Grenadines,0,1,0%,9
Azerbaijan,0,1,0%,31
Liberia,0,1,0%,32
Côte d’Ivoire,0,1,0%,35
Belarus,0,1,0%,37
Guinea-Bissau,0,1,0%,37
Mongolia,0,1,0%,38
Syria,0,1,0%,42
Laos,0,1,0%,45
Cameroon,0,1,0%,48
Maldives,0,1,0%,49
Senegal,0,1,0%,50
Togo,0,1,0%,50
Mayotte,0,1,0%,70
Palestine,0,1,0%,91
