Date,Clicks,Impressions,CTR,Position
2026-04-29,0,45,0%,23
2026-04-30,0,58,0%,25.9
2026-05-01,0,38,0%,24.2
2026-05-02,0,36,0%,17.6
2026-05-03,0,51,0%,17.3
2026-05-04,0,33,0%,14.5
2026-05-05,0,37,0%,16.8
2026-05-06,0,40,0%,20.3
2026-05-07,1,38,2.63%,14.2
2026-05-08,0,52,0%,16
2026-05-09,0,42,0%,13.8
2026-05-10,0,65,0%,20.7
2026-05-11,0,43,0%,17.8
2026-05-12,0,37,0%,15.6
2026-05-13,0,50,0%,15.9
2026-05-14,0,40,0%,19.5
2026-05-15,0,70,0%,11.7
2026-05-16,0,36,0%,21.6
2026-05-17,0,46,0%,19.8
2026-05-18,0,25,0%,16.2
2026-05-19,0,30,0%,19.6
2026-05-20,0,47,0%,20.3
2026-05-21,0,37,0%,22
2026-05-22,0,35,0%,14.1
2026-05-23,0,27,0%,30.8
2026-05-24,0,37,0%,26.7
2026-05-25,0,18,0%,31
2026-05-26,0,28,0%,41.9
2026-05-27,0,20,0%,37.5
2026-05-28,0,26,0%,38.8
2026-05-29,0,33,0%,22.9
2026-05-30,0,32,0%,30.5
2026-05-31,0,44,0%,20.8
2026-06-01,0,22,0%,38
2026-06-02,0,20,0%,35.2
2026-06-03,0,18,0%,54.8
2026-06-04,0,45,0%,29.4
2026-06-05,0,42,0%,24.5
2026-06-06,0,30,0%,24.4
2026-06-07,0,33,0%,30.7
2026-06-08,0,23,0%,45.4
2026-06-09,0,28,0%,34.9
2026-06-10,0,22,0%,41.8
2026-06-11,0,21,0%,15
2026-06-12,0,39,0%,19.1
2026-06-13,0,42,0%,20.2
2026-06-14,0,46,0%,22
2026-06-15,0,18,0%,16.8
2026-06-16,0,21,0%,7.9
2026-06-17,0,18,0%,26.2
2026-06-18,0,21,0%,13.3
2026-06-19,0,44,0%,6.5
2026-06-20,0,39,0%,8
2026-06-21,0,35,0%,16.7
2026-06-22,0,24,0%,16.1
2026-06-23,0,21,0%,11.4
2026-06-24,0,6,0%,12
2026-06-25,0,12,0%,11.5
2026-06-26,0,27,0%,13.7
2026-06-27,0,31,0%,23.9
2026-06-28,0,43,0%,21
2026-06-29,0,27,0%,19.2
2026-06-30,0,25,0%,20.4
2026-07-01,0,32,0%,21.2
2026-07-02,0,46,0%,20.9
2026-07-03,0,45,0%,16
2026-07-04,0,36,0%,16.4
2026-07-05,0,46,0%,19.7
2026-07-06,0,28,0%,22.7
2026-07-07,0,36,0%,23.1
2026-07-08,0,33,0%,28.4
2026-07-09,0,35,0%,19.7
2026-07-10,0,48,0%,12.6
2026-07-11,0,38,0%,19
2026-07-12,0,47,0%,18
2026-07-13,0,41,0%,19.2
2026-07-14,0,31,0%,23.9
2026-07-15,0,23,0%,25.1
2026-07-16,0,30,0%,18
2026-07-17,0,32,0%,27.3
2026-07-18,0,17,0%,17.3
2026-07-19,0,34,0%,13.7
2026-07-20,0,14,0%,17.8
2026-07-21,0,25,0%,10.1
2026-07-22,0,22,0%,17.4
2026-07-23,0,23,0%,25.7
2026-07-24,0,18,0%,27.2
2026-07-25,0,24,0%,26.6
2026-07-26,0,27,0%,26
2026-07-27,0,23,0%,27.3
2026-07-28,0,28,0%,24.1
