Country,Clicks,Impressions,CTR,Position
United States,0,2152,0%,21.01
Brazil,0,37,0%,33.32
India,0,33,0%,30.79
Bangladesh,0,24,0%,22.96
Indonesia,0,23,0%,44.65
United Kingdom,0,20,0%,15.75
Turkey,0,20,0%,25.3
Saudi Arabia,0,16,0%,22.56
Philippines,0,15,0%,27
Russia,0,14,0%,34.36
Spain,0,11,0%,21.18
Argentina,0,11,0%,27.55
Pakistan,0,10,0%,30.4
Morocco,0,10,0%,33.2
Colombia,0,10,0%,42.4
France,0,9,0%,19.67
Egypt,0,9,0%,23.56
Vietnam,0,9,0%,42.78
Nepal,0,8,0%,27.25
Italy,0,7,0%,27.29
Jordan,0,6,0%,32.67
Mexico,0,5,0%,13
Paraguay,0,5,0%,28
Malaysia,0,5,0%,36.2
Germany,0,5,0%,42.2
Algeria,0,5,0%,58
Ecuador,0,4,0%,14
Iraq,0,4,0%,17
Uzbekistan,0,4,0%,20
Ukraine,0,4,0%,22.5
Oman,0,4,0%,27.25
Dominican Republic,0,4,0%,29.5
United Arab Emirates,0,4,0%,39
Côte d’Ivoire,0,4,0%,40.5
Canada,0,3,0%,15
Chile,0,3,0%,15
Uruguay,0,3,0%,16
Peru,0,3,0%,16.67
Kenya,0,3,0%,25
Jamaica,0,3,0%,26.33
South Africa,0,3,0%,40
Kazakhstan,0,3,0%,41.33
Georgia,0,3,0%,50.67
Israel,0,3,0%,55.33
Romania,0,3,0%,66.67
Palestine,0,2,0%,10
Thailand,0,2,0%,13
Myanmar (Burma),0,2,0%,18
South Korea,0,2,0%,24
Sweden,0,2,0%,36.5
Venezuela,0,2,0%,43.5
Australia,0,1,0%,4
Burkina Faso,0,1,0%,6
Nigeria,0,1,0%,7
Panama,0,1,0%,11
Greece,0,1,0%,13
Mozambique,0,1,0%,15
Austria,0,1,0%,17
Kuwait,0,1,0%,17
Syria,0,1,0%,17
Honduras,0,1,0%,19
Bosnia & Herzegovina,0,1,0%,20
Belgium,0,1,0%,21
Ethiopia,0,1,0%,40
Moldova,0,1,0%,41
Curaçao,0,1,0%,42
Kyrgyzstan,0,1,0%,44
Uganda,0,1,0%,44
Croatia,0,1,0%,46
Angola,0,1,0%,47
Singapore,0,1,0%,47
Guyana,0,1,0%,48
Lebanon,0,1,0%,54
Belarus,0,1,0%,57
Aruba,0,1,0%,78
Azerbaijan,0,1,0%,78
Qatar,0,1,0%,88
Bolivia,0,1,0%,89
