Date,Clicks,Impressions,CTR,Position
2026-05-05,0,23,0%,12.7
2026-05-06,0,37,0%,10.6
2026-05-07,0,23,0%,10.3
2026-05-08,0,28,0%,10.8
2026-05-09,0,30,0%,11
2026-05-10,0,35,0%,10.8
2026-05-11,0,26,0%,9.7
2026-05-12,0,29,0%,10
2026-05-13,0,39,0%,9.4
2026-05-14,0,39,0%,9.9
2026-05-15,0,27,0%,12.1
2026-05-16,0,28,0%,11.6
2026-05-17,0,36,0%,11.7
2026-05-18,0,19,0%,12.6
2026-05-19,0,33,0%,12.7
2026-05-20,0,31,0%,12.8
2026-05-21,0,31,0%,13
2026-05-22,0,26,0%,13.3
2026-05-23,0,29,0%,15.6
2026-05-24,0,18,0%,14.8
2026-05-25,0,23,0%,13.3
2026-05-26,0,16,0%,13.1
2026-05-27,0,22,0%,13.6
2026-05-28,0,16,0%,14.2
2026-05-29,0,28,0%,11.9
2026-05-30,0,30,0%,12.2
2026-05-31,0,31,0%,12.9
2026-06-01,0,27,0%,12.6
2026-06-02,0,21,0%,15.5
2026-06-03,0,26,0%,13.7
2026-06-04,0,39,0%,12.3
2026-06-05,0,27,0%,13.2
2026-06-06,0,32,0%,13.3
2026-06-07,0,31,0%,12.7
2026-06-08,0,30,0%,12.6
2026-06-09,0,24,0%,12.9
2026-06-10,0,34,0%,13.8
2026-06-11,0,29,0%,13.2
2026-06-12,0,27,0%,13.5
2026-06-13,0,41,0%,13
2026-06-14,0,32,0%,12.1
2026-06-15,1,27,3.7%,12.6
2026-06-16,0,31,0%,11.2
2026-06-17,0,36,0%,13.4
2026-06-18,0,23,0%,13
2026-06-19,0,22,0%,13.3
2026-06-20,0,37,0%,12.6
2026-06-21,0,38,0%,12.4
2026-06-22,0,35,0%,12.3
2026-06-23,0,27,0%,11.9
2026-06-24,0,31,0%,10.3
2026-06-25,0,30,0%,8.7
2026-06-26,0,31,0%,8.3
2026-06-27,0,42,0%,8.4
2026-06-28,0,38,0%,8.5
2026-06-29,0,30,0%,8.9
2026-06-30,0,40,0%,8.2
2026-07-01,0,30,0%,8.2
2026-07-02,0,29,0%,8.2
2026-07-03,0,35,0%,9
2026-07-04,0,31,0%,8.9
2026-07-05,0,41,0%,4.1
2026-07-06,0,33,0%,5.1
2026-07-07,0,35,0%,9.3
2026-07-08,0,31,0%,9.5
2026-07-09,0,33,0%,9
2026-07-10,0,30,0%,9.1
2026-07-11,0,41,0%,8.7
2026-07-12,0,30,0%,8.5
2026-07-13,0,35,0%,8.6
2026-07-14,0,28,0%,8.6
2026-07-15,0,33,0%,9.2
2026-07-16,0,34,0%,8.8
2026-07-17,0,34,0%,8.5
2026-07-18,0,34,0%,8
2026-07-19,0,36,0%,9.8
2026-07-20,0,30,0%,9.9
2026-07-21,0,32,0%,10.8
2026-07-22,0,24,0%,10.7
2026-07-23,0,25,0%,11.4
2026-07-24,0,22,0%,11
2026-07-25,0,25,0%,11
2026-07-26,0,26,0%,10.5
2026-07-27,0,28,0%,11.6
2026-07-28,0,35,0%,11.9
2026-07-29,0,29,0%,11.8
2026-07-30,0,32,0%,11.9
2026-07-31,0,29,0%,14.1
2026-08-01,0,36,0%,11.7
2026-08-02,0,25,0%,11.2
2026-08-03,1,24,4.17%,11.4
2026-08-04,0,24,0%,10.4
