Country,Clicks,Impressions,CTR,Position
United States,2,2712,0.07%,10.93
United Kingdom,0,9,0%,11.33
Brazil,0,5,0%,14.8
Russia,0,4,0%,10.75
India,0,4,0%,16.75
Poland,0,3,0%,11.33
Germany,0,3,0%,13.67
Slovakia,0,2,0%,10.5
Belgium,0,2,0%,11
Czechia,0,2,0%,14
Argentina,0,2,0%,16
Ireland,0,1,0%,1
Thailand,0,1,0%,1
Iraq,0,1,0%,9
Canada,0,1,0%,10
Spain,0,1,0%,10
Lithuania,0,1,0%,10
France,0,1,0%,11
South Korea,0,1,0%,11
Mexico,0,1,0%,11
Nepal,0,1,0%,11
Togo,0,1,0%,11
Chile,0,1,0%,13
Ecuador,0,1,0%,13
Pakistan,0,1,0%,13
Romania,0,1,0%,13
Greece,0,1,0%,15
South Africa,0,1,0%,16
Vietnam,0,1,0%,17
Colombia,0,1,0%,18
Indonesia,0,1,0%,18
Morocco,0,1,0%,19
Turkey,0,1,0%,25
