Date,Clicks,Impressions,CTR,Position
2026-05-05,0,272,0%,13
2026-05-06,0,312,0%,13.4
2026-05-07,0,326,0%,12.1
2026-05-08,0,332,0%,11.7
2026-05-09,0,281,0%,11.3
2026-05-10,0,312,0%,10.7
2026-05-11,0,261,0%,11.9
2026-05-12,0,358,0%,14.6
2026-05-13,0,312,0%,12.6
2026-05-14,0,396,0%,11.5
2026-05-15,0,339,0%,10.8
2026-05-16,0,258,0%,10.7
2026-05-17,0,307,0%,10.6
2026-05-18,0,281,0%,12.2
2026-05-19,0,309,0%,12.1
2026-05-20,0,293,0%,11.6
2026-05-21,0,369,0%,10.8
2026-05-22,0,264,0%,11.5
2026-05-23,0,291,0%,11.2
2026-05-24,0,270,0%,11.2
2026-05-25,0,260,0%,11.5
2026-05-26,0,303,0%,14
2026-05-27,0,277,0%,12.1
2026-05-28,0,329,0%,11.5
2026-05-29,0,274,0%,10.9
2026-05-30,0,277,0%,10.4
2026-05-31,0,296,0%,11.2
2026-06-01,0,311,0%,12
2026-06-02,0,262,0%,11.7
2026-06-03,0,364,0%,12.8
2026-06-04,0,427,0%,12.1
2026-06-05,0,305,0%,10.7
2026-06-06,0,331,0%,10
2026-06-07,0,335,0%,10.5
2026-06-08,0,353,0%,10.2
2026-06-09,0,326,0%,11.6
2026-06-10,0,351,0%,10.6
2026-06-11,0,333,0%,11
2026-06-12,0,313,0%,10
2026-06-13,0,333,0%,10.7
2026-06-14,0,318,0%,10.5
2026-06-15,1,330,0.3%,11.8
2026-06-16,0,288,0%,9.3
2026-06-17,0,378,0%,9.8
2026-06-18,1,277,0.36%,9.5
2026-06-19,0,247,0%,10.6
2026-06-20,0,310,0%,9.6
2026-06-21,0,358,0%,9.3
2026-06-22,0,293,0%,9.7
2026-06-23,1,351,0.28%,10.7
2026-06-24,0,335,0%,8.2
2026-06-25,0,332,0%,8.9
2026-06-26,0,324,0%,8.5
2026-06-27,0,333,0%,8.4
2026-06-28,0,317,0%,8.5
2026-06-29,0,337,0%,9.5
2026-06-30,0,365,0%,8.4
2026-07-01,0,351,0%,8.7
2026-07-02,0,347,0%,8.3
2026-07-03,0,354,0%,8.9
2026-07-04,0,292,0%,8.9
2026-07-05,0,346,0%,8.1
2026-07-06,0,359,0%,7.9
2026-07-07,0,355,0%,9.9
2026-07-08,0,355,0%,9
2026-07-09,0,355,0%,10.1
2026-07-10,0,330,0%,9.2
2026-07-11,0,305,0%,9
2026-07-12,0,336,0%,8.6
2026-07-13,0,365,0%,10.2
2026-07-14,1,295,0.34%,9.2
2026-07-15,0,282,0%,8.7
2026-07-16,0,298,0%,9.3
2026-07-17,0,341,0%,9.8
2026-07-18,0,262,0%,8.9
2026-07-19,0,264,0%,10
2026-07-20,1,235,0.43%,9.8
2026-07-21,0,373,0%,10.7
2026-07-22,0,240,0%,10.1
2026-07-23,0,298,0%,10.9
2026-07-24,0,175,0%,10
2026-07-25,0,181,0%,10.3
2026-07-26,0,161,0%,10.3
2026-07-27,0,280,0%,10.3
2026-07-28,0,305,0%,10.1
2026-07-29,0,347,0%,10.3
2026-07-30,0,421,0%,10.1
2026-07-31,0,378,0%,11
2026-08-01,0,309,0%,10.2
2026-08-02,0,339,0%,9.5
2026-08-03,1,282,0.35%,9.8
2026-08-04,0,328,0%,8.9
