Country,Clicks,Impressions,CTR,Position
United States,5,26874,0.02%,10.25
Brazil,0,73,0%,13.53
United Kingdom,0,71,0%,9.32
India,0,56,0%,15.79
Philippines,0,28,0%,14.71
Vietnam,0,27,0%,10.59
Argentina,0,25,0%,13.76
Turkey,0,23,0%,13.57
Indonesia,0,23,0%,14.52
Spain,0,22,0%,11.09
France,0,20,0%,9.85
Russia,0,18,0%,10.44
Bangladesh,0,18,0%,11.44
Germany,0,17,0%,15.24
Pakistan,0,16,0%,16.25
Morocco,0,15,0%,13.93
Chile,0,15,0%,15.2
Iraq,0,14,0%,17.21
Colombia,0,14,0%,17.71
Mexico,0,13,0%,12.15
Ukraine,0,10,0%,10.2
Saudi Arabia,0,10,0%,11.5
Canada,0,10,0%,27.9
Nepal,0,9,0%,12.11
Thailand,0,8,0%,10.12
Poland,0,8,0%,13
Portugal,0,7,0%,11.71
Italy,0,7,0%,12.29
Netherlands,0,7,0%,13.71
Paraguay,0,7,0%,14.86
Ecuador,0,6,0%,10
Peru,0,6,0%,10.67
Ireland,0,6,0%,11.33
Egypt,0,6,0%,12.67
Algeria,0,6,0%,12.83
Bulgaria,0,6,0%,14
South Korea,0,6,0%,14.5
Malaysia,0,6,0%,15
Belgium,0,5,0%,9.2
Costa Rica,0,5,0%,10.6
Bolivia,0,5,0%,11.8
Kazakhstan,0,5,0%,12
Mongolia,0,5,0%,12.2
United Arab Emirates,0,5,0%,13
Lebanon,0,4,0%,9.75
Romania,0,4,0%,10.5
Jordan,0,4,0%,11.5
Uruguay,0,4,0%,12.5
Australia,0,4,0%,14
South Africa,0,4,0%,15
Venezuela,0,4,0%,15.25
Greece,0,4,0%,17.25
Dominican Republic,0,3,0%,9.67
Belarus,0,3,0%,10.33
Slovakia,0,3,0%,10.33
Togo,0,3,0%,10.67
Palestine,0,3,0%,11.33
Honduras,0,3,0%,12
Jamaica,0,3,0%,12
Tunisia,0,3,0%,12
Uzbekistan,0,3,0%,12.67
Kenya,0,3,0%,13
New Zealand,0,3,0%,16.67
Côte d’Ivoire,0,2,0%,10.5
Guatemala,0,2,0%,10.5
Azerbaijan,0,2,0%,12
Nigeria,0,2,0%,13
Oman,0,2,0%,13
Czechia,0,2,0%,14
Angola,0,2,0%,15.5
Kuwait,0,2,0%,15.5
Qatar,0,2,0%,15.5
Japan,0,2,0%,16
Georgia,0,2,0%,18.5
Norway,0,2,0%,20
Singapore,0,1,0%,1
Unknown Region,0,1,0%,9
Lithuania,0,1,0%,10
Sweden,0,1,0%,10
Austria,0,1,0%,11
Burkina Faso,0,1,0%,11
Panama,0,1,0%,11
El Salvador,0,1,0%,11
Albania,0,1,0%,12
Serbia,0,1,0%,12
Croatia,0,1,0%,13
Afghanistan,0,1,0%,14
Ethiopia,0,1,0%,15
Israel,0,1,0%,15
Puerto Rico,0,1,0%,15
Trinidad & Tobago,0,1,0%,15
Taiwan,0,1,0%,16
Bosnia & Herzegovina,0,1,0%,17
Hungary,0,1,0%,18
Montenegro,0,1,0%,26
