Date,Clicks,Impressions,CTR,Position
2026-03-14,0,3,0%,8.7
2026-03-15,0,0,,
2026-03-16,0,3,0%,6
2026-03-17,0,1,0%,1
2026-03-18,0,6,0%,2.7
2026-03-19,1,2,50%,1
2026-03-20,0,3,0%,4.3
2026-03-21,0,0,,
2026-03-22,0,3,0%,4
2026-03-23,0,4,0%,14
2026-03-24,1,4,25%,3.2
2026-03-25,0,6,0%,1.3
2026-03-26,0,3,0%,3.3
2026-03-27,0,0,,
2026-03-28,0,3,0%,2.7
2026-03-29,0,2,0%,1
2026-03-30,0,1,0%,6
2026-03-31,0,0,,
2026-04-01,0,1,0%,6
2026-04-02,0,2,0%,1
2026-04-03,0,2,0%,5.5
2026-04-04,0,1,0%,1
2026-04-05,0,3,0%,4
2026-04-06,1,8,12.5%,7
2026-04-07,0,2,0%,3
2026-04-08,0,1,0%,6
2026-04-09,0,2,0%,2.5
2026-04-10,0,1,0%,1
2026-04-11,0,4,0%,1.5
2026-04-12,0,1,0%,4
2026-04-13,0,2,0%,4.5
2026-04-14,0,0,,
2026-04-15,0,5,0%,2.4
2026-04-16,0,2,0%,1
2026-04-17,0,4,0%,2.2
2026-04-18,0,3,0%,1
2026-04-19,0,2,0%,2
2026-04-20,0,7,0%,7
2026-04-21,0,5,0%,2.6
2026-04-22,1,3,33.33%,1.7
2026-04-23,0,3,0%,1.7
2026-04-24,0,0,,
2026-04-25,0,4,0%,2.5
2026-04-26,1,2,50%,1
2026-04-27,0,3,0%,4
2026-04-28,0,0,,
2026-04-29,1,7,14.29%,8.7
2026-04-30,0,2,0%,1.5
2026-05-01,0,7,0%,2.1
2026-05-02,0,0,,
2026-05-03,0,4,0%,1.5
2026-05-04,0,2,0%,3
2026-05-05,0,2,0%,2
2026-05-06,0,1,0%,3
2026-05-07,0,4,0%,2.2
2026-05-08,1,6,16.67%,1.2
2026-05-09,0,5,0%,1.4
2026-05-10,0,1,0%,1
2026-05-11,0,6,0%,2.7
2026-05-12,0,3,0%,1.7
2026-05-13,1,4,25%,2.5
2026-05-14,0,0,,
2026-05-15,0,6,0%,2.5
2026-05-16,0,2,0%,1
2026-05-17,0,3,0%,2
2026-05-18,0,4,0%,46
2026-05-19,1,5,20%,3.2
2026-05-20,0,4,0%,22.8
2026-05-21,1,6,16.67%,2.7
2026-05-22,0,2,0%,2
2026-05-23,1,7,14.29%,1.7
2026-05-24,0,1,0%,1
2026-05-25,0,2,0%,3
2026-05-26,0,3,0%,1
2026-05-27,0,5,0%,2.8
2026-05-28,0,4,0%,2.2
2026-05-29,0,3,0%,2.3
2026-05-30,0,2,0%,2
2026-05-31,0,3,0%,2
2026-06-01,0,3,0%,22.3
2026-06-02,0,2,0%,3.5
2026-06-03,0,3,0%,12
2026-06-04,0,4,0%,3
2026-06-05,0,4,0%,2
2026-06-06,1,5,20%,1.4
2026-06-07,0,0,,
2026-06-08,0,3,0%,4.3
2026-06-09,0,1,0%,1
2026-06-10,0,15,0%,2.1
2026-06-11,0,2,0%,2
2026-06-12,0,14,0%,2.4
2026-06-13,0,1,0%,3
