Date,Clicks,Impressions,CTR,Position
2026-03-14,2,120,1.67%,10.4
2026-03-15,1,110,0.91%,12.9
2026-03-16,1,167,0.6%,7.9
2026-03-17,2,136,1.47%,10.1
2026-03-18,1,167,0.6%,10.6
2026-03-19,0,145,0%,7.2
2026-03-20,2,133,1.5%,9.5
2026-03-21,2,116,1.72%,9
2026-03-22,2,105,1.9%,8.5
2026-03-23,1,98,1.02%,7.5
2026-03-24,2,163,1.23%,5.5
2026-03-25,4,235,1.7%,7.4
2026-03-26,2,182,1.1%,5.9
2026-03-27,1,153,0.65%,7
2026-03-28,1,112,0.89%,5.7
2026-03-29,2,121,1.65%,8.2
2026-03-30,3,115,2.61%,6
2026-03-31,1,97,1.03%,8.2
2026-04-01,2,110,1.82%,10.6
2026-04-02,1,74,1.35%,9.8
2026-04-03,1,93,1.08%,9.8
2026-04-04,0,90,0%,7.2
2026-04-05,0,108,0%,9.3
2026-04-06,2,118,1.69%,6.9
2026-04-07,2,111,1.8%,7.2
2026-04-08,1,125,0.8%,10.3
2026-04-09,4,84,4.76%,5.4
2026-04-10,1,119,0.84%,11.2
2026-04-11,3,113,2.65%,10.1
2026-04-12,3,105,2.86%,10
2026-04-13,2,113,1.77%,12.8
2026-04-14,2,125,1.6%,10.2
2026-04-15,0,138,0%,14
2026-04-16,6,118,5.08%,8.4
2026-04-17,1,119,0.84%,10.3
2026-04-18,2,117,1.71%,10.7
2026-04-19,1,127,0.79%,10.6
2026-04-20,4,96,4.17%,10.2
2026-04-21,1,107,0.93%,10.2
2026-04-22,5,121,4.13%,11.6
2026-04-23,2,95,2.11%,9
2026-04-24,1,87,1.15%,15.9
2026-04-25,3,92,3.26%,14.2
2026-04-26,3,95,3.16%,13.3
2026-04-27,2,90,2.22%,13.1
2026-04-28,1,113,0.88%,14.1
2026-04-29,3,115,2.61%,15.1
2026-04-30,2,96,2.08%,9
2026-05-01,3,110,2.73%,7.3
2026-05-02,2,115,1.74%,11.2
2026-05-03,4,129,3.1%,12.6
2026-05-04,5,119,4.2%,11.2
2026-05-05,0,99,0%,10.5
2026-05-06,1,88,1.14%,14.1
2026-05-07,3,104,2.88%,11.8
2026-05-08,2,105,1.9%,12.6
2026-05-09,5,102,4.9%,13.5
2026-05-10,3,106,2.83%,11.3
2026-05-11,2,92,2.17%,11.4
2026-05-12,2,131,1.53%,11.6
2026-05-13,1,105,0.95%,17.1
2026-05-14,3,116,2.59%,15.7
2026-05-15,2,85,2.35%,14.1
2026-05-16,0,83,0%,14.8
2026-05-17,4,101,3.96%,11.6
2026-05-18,3,106,2.83%,11.7
2026-05-19,2,97,2.06%,9
2026-05-20,2,115,1.74%,12.1
2026-05-21,1,110,0.91%,10
2026-05-22,2,129,1.55%,10.3
2026-05-23,2,159,1.26%,8.3
2026-05-24,2,149,1.34%,11
2026-05-25,5,176,2.84%,9.4
2026-05-26,1,175,0.57%,8.9
2026-05-27,2,139,1.44%,10.5
2026-05-28,4,149,2.68%,8.4
2026-05-29,1,139,0.72%,9.9
2026-05-30,4,155,2.58%,10.1
2026-05-31,1,138,0.72%,10.4
2026-06-01,1,132,0.76%,9.3
2026-06-02,5,165,3.03%,7.9
2026-06-03,4,141,2.84%,7.7
2026-06-04,6,173,3.47%,8.4
2026-06-05,4,167,2.4%,10.3
2026-06-06,2,161,1.24%,9.2
2026-06-07,1,159,0.63%,8.8
2026-06-08,6,169,3.55%,8.6
2026-06-09,3,170,1.76%,10.3
2026-06-10,3,182,1.65%,9.8
2026-06-11,3,181,1.66%,8.5
2026-06-12,2,157,1.27%,8.1
2026-06-13,2,157,1.27%,10.4
