Country,Clicks,Impressions,CTR,Position
United States,91,5539,1.64%,7.75
Mexico,3,1016,0.3%,41.74
Puerto Rico,2,62,3.23%,6.58
Argentina,0,75,0%,7.73
Spain,0,27,0%,18.74
Venezuela,0,24,0%,6.33
Honduras,0,18,0%,6.56
Guatemala,0,15,0%,6.53
Colombia,0,14,0%,2.5
El Salvador,0,13,0%,5.92
Dominican Republic,0,12,0%,5
Canada,0,12,0%,13.08
Nicaragua,0,10,0%,5.5
Ecuador,0,8,0%,4.38
Paraguay,0,7,0%,5.29
Chile,0,6,0%,3.67
Peru,0,5,0%,2.4
Cuba,0,4,0%,4.5
Costa Rica,0,4,0%,5.5
Bolivia,0,3,0%,2
Panama,0,3,0%,11.67
Brazil,0,2,0%,8
Ireland,0,2,0%,11
Uruguay,0,2,0%,13
France,0,2,0%,24
Italy,0,2,0%,31
United Kingdom,0,2,0%,59.5
Romania,0,1,0%,3
Bahamas,0,1,0%,4
Ukraine,0,1,0%,4
Israel,0,1,0%,10
Equatorial Guinea,0,1,0%,11
South Africa,0,1,0%,86
