Date,Clicks,Impressions,CTR,Position
2026-03-14,0,34,0%,15.1
2026-03-15,4,77,5.19%,9.4
2026-03-16,0,40,0%,25.1
2026-03-17,0,37,0%,24.2
2026-03-18,2,93,2.15%,18.1
2026-03-19,2,78,2.56%,6.8
2026-03-20,3,70,4.29%,11.2
2026-03-21,5,77,6.49%,9.5
2026-03-22,3,89,3.37%,7.1
2026-03-23,2,93,2.15%,11.5
2026-03-24,4,78,5.13%,10.6
2026-03-25,2,100,2%,15.5
2026-03-26,5,73,6.85%,7.7
2026-03-27,1,65,1.54%,10.2
2026-03-28,2,59,3.39%,13.7
2026-03-29,4,97,4.12%,11.2
2026-03-30,1,73,1.37%,13.5
2026-03-31,6,73,8.22%,5.3
2026-04-01,4,85,4.71%,15
2026-04-02,5,51,9.8%,7.4
2026-04-03,1,70,1.43%,9.6
2026-04-04,9,85,10.59%,6.1
2026-04-05,1,58,1.72%,5.8
2026-04-06,2,85,2.35%,9.2
2026-04-07,7,78,8.97%,3.7
2026-04-08,4,85,4.71%,10.6
2026-04-09,6,69,8.7%,6.9
2026-04-10,4,67,5.97%,4.3
2026-04-11,7,59,11.86%,6.6
2026-04-12,3,78,3.85%,6.3
2026-04-13,3,76,3.95%,6.7
2026-04-14,0,60,0%,7.5
2026-04-15,4,100,4%,5
2026-04-16,4,55,7.27%,3.8
2026-04-17,0,57,0%,5.4
2026-04-18,4,84,4.76%,7
2026-04-19,1,59,1.69%,7.8
2026-04-20,4,82,4.88%,7.7
2026-04-21,8,79,10.13%,7.4
2026-04-22,3,88,3.41%,7.4
2026-04-23,2,63,3.17%,7.8
2026-04-24,5,65,7.69%,5.6
2026-04-25,3,84,3.57%,8
2026-04-26,1,95,1.05%,10.6
2026-04-27,0,81,0%,9
2026-04-28,6,92,6.52%,7.8
2026-04-29,4,74,5.41%,8.5
2026-04-30,1,58,1.72%,5.9
2026-05-01,4,74,5.41%,7.9
2026-05-02,3,85,3.53%,9.5
2026-05-03,6,85,7.06%,5.6
2026-05-04,5,90,5.56%,9.6
2026-05-05,2,57,3.51%,4.5
2026-05-06,4,86,4.65%,6.8
2026-05-07,2,70,2.86%,6.4
2026-05-08,4,79,5.06%,3.4
2026-05-09,1,84,1.19%,4.9
2026-05-10,2,90,2.22%,6.5
2026-05-11,2,85,2.35%,4.7
2026-05-12,1,68,1.47%,8.7
2026-05-13,3,80,3.75%,6.7
2026-05-14,3,78,3.85%,4.9
2026-05-15,5,83,6.02%,3.2
2026-05-16,3,83,3.61%,3.3
2026-05-17,3,70,4.29%,5.9
2026-05-18,3,83,3.61%,6.4
2026-05-19,0,60,0%,7
2026-05-20,2,99,2.02%,7.3
2026-05-21,1,79,1.27%,6
2026-05-22,4,64,6.25%,4.6
2026-05-23,3,72,4.17%,5
2026-05-24,2,105,1.9%,6.6
2026-05-25,8,106,7.55%,7.8
2026-05-26,5,78,6.41%,6.2
2026-05-27,7,88,7.95%,6.1
2026-05-28,3,97,3.09%,10.1
2026-05-29,4,97,4.12%,9
2026-05-30,3,112,2.68%,12.4
2026-05-31,8,88,9.09%,8.7
2026-06-01,2,107,1.87%,20.3
2026-06-02,4,68,5.88%,11.6
2026-06-03,2,85,2.35%,11.1
2026-06-04,2,86,2.33%,5.8
2026-06-05,3,65,4.62%,7.5
2026-06-06,1,66,1.52%,5.3
2026-06-07,4,76,5.26%,5.6
2026-06-08,4,76,5.26%,6.9
2026-06-09,5,75,6.67%,6.5
2026-06-10,8,100,8%,7.4
2026-06-11,5,84,5.95%,11.1
2026-06-12,2,97,2.06%,12.4
2026-06-13,3,105,2.86%,16.6
