Country,Clicks,Impressions,CTR,Position
United States,292,6934,4.21%,8.57
Canada,7,53,13.21%,5.87
India,1,16,6.25%,5.06
Mexico,1,11,9.09%,11.18
France,1,4,25%,2.75
Turks & Caicos Islands,1,2,50%,1
United Kingdom,0,44,0%,4.02
Brazil,0,10,0%,2.6
Turkey,0,9,0%,3.22
Philippines,0,7,0%,3.29
Argentina,0,7,0%,6.71
Spain,0,7,0%,37.57
Germany,0,6,0%,3.83
Italy,0,6,0%,12
Dominican Republic,0,5,0%,4.8
Colombia,0,4,0%,2.75
Vietnam,0,4,0%,3
Indonesia,0,4,0%,3.5
Russia,0,4,0%,5.25
Sweden,0,3,0%,1.33
Peru,0,3,0%,2.33
Chile,0,3,0%,2.67
Japan,0,2,0%,2
Puerto Rico,0,2,0%,2
Netherlands,0,2,0%,2.5
Bangladesh,0,2,0%,3
Portugal,0,2,0%,3
United Arab Emirates,0,2,0%,3.5
Morocco,0,2,0%,3.5
Egypt,0,2,0%,4
South Africa,0,2,0%,4
Jordan,0,2,0%,5
Romania,0,2,0%,5
Guatemala,0,2,0%,5.5
Iran,0,1,0%,1
Guam,0,1,0%,2
Honduras,0,1,0%,2
Iraq,0,1,0%,2
Israel,0,1,0%,2
Qatar,0,1,0%,2
Serbia,0,1,0%,2
Albania,0,1,0%,3
Bosnia & Herzegovina,0,1,0%,3
Bermuda,0,1,0%,3
Lithuania,0,1,0%,3
Nepal,0,1,0%,3
Senegal,0,1,0%,3
Ecuador,0,1,0%,4
Kyrgyzstan,0,1,0%,4
Uzbekistan,0,1,0%,4
Botswana,0,1,0%,5
Pakistan,0,1,0%,5
Thailand,0,1,0%,5
British Virgin Islands,0,1,0%,5
Norway,0,1,0%,6
Saudi Arabia,0,1,0%,6
Cayman Islands,0,1,0%,7
