Date,Clicks,Impressions,CTR,Position
2026-03-14,1,145,0.69%,10.2
2026-03-15,17,482,3.53%,10.5
2026-03-16,3,552,0.54%,25.4
2026-03-17,6,418,1.44%,27
2026-03-18,19,817,2.33%,16.3
2026-03-19,15,754,1.99%,17.7
2026-03-20,13,680,1.91%,16.6
2026-03-21,23,647,3.55%,15.8
2026-03-22,12,682,1.76%,20.3
2026-03-23,8,730,1.1%,14.6
2026-03-24,13,665,1.95%,14.4
2026-03-25,11,675,1.63%,22.1
2026-03-26,17,611,2.78%,25
2026-03-27,9,547,1.65%,22.1
2026-03-28,12,552,2.17%,20.3
2026-03-29,17,575,2.96%,20.3
2026-03-30,11,528,2.08%,19.1
2026-03-31,15,487,3.08%,19.1
2026-04-01,15,505,2.97%,20.1
2026-04-02,16,446,3.59%,21
2026-04-03,14,471,2.97%,17.4
2026-04-04,23,574,4.01%,18.8
2026-04-05,7,443,1.58%,20.9
2026-04-06,12,600,2%,19.4
2026-04-07,12,541,2.22%,16.6
2026-04-08,18,510,3.53%,17.3
2026-04-09,24,511,4.7%,17.5
2026-04-10,19,532,3.57%,17.4
2026-04-11,18,431,4.18%,20.9
2026-04-12,15,447,3.36%,17.7
2026-04-13,17,447,3.8%,16.9
2026-04-14,7,493,1.42%,23.8
2026-04-15,22,606,3.63%,18.3
2026-04-16,21,571,3.68%,16.5
2026-04-17,10,534,1.87%,16.7
2026-04-18,15,538,2.79%,15.9
2026-04-19,8,502,1.59%,16.8
2026-04-20,8,539,1.48%,16.4
2026-04-21,18,511,3.52%,18.6
2026-04-22,17,532,3.2%,15.2
2026-04-23,20,661,3.03%,13.3
2026-04-24,24,517,4.64%,14.7
2026-04-25,12,471,2.55%,16.8
2026-04-26,13,598,2.17%,16.2
2026-04-27,18,462,3.9%,17.5
2026-04-28,18,447,4.03%,16.3
2026-04-29,13,430,3.02%,17.6
2026-04-30,10,385,2.6%,16.7
2026-05-01,14,376,3.72%,17.1
2026-05-02,18,413,4.36%,15.2
2026-05-03,21,517,4.06%,17.2
2026-05-04,12,497,2.41%,15.8
2026-05-05,14,435,3.22%,15.8
2026-05-06,16,534,3%,17.5
2026-05-07,12,461,2.6%,13.8
2026-05-08,15,384,3.91%,13.6
2026-05-09,15,493,3.04%,14.7
2026-05-10,11,548,2.01%,12.4
2026-05-11,16,605,2.64%,13.5
2026-05-12,21,613,3.43%,13.7
2026-05-13,15,559,2.68%,17.6
2026-05-14,15,654,2.29%,17
2026-05-15,21,494,4.25%,18.3
2026-05-16,14,534,2.62%,20
2026-05-17,13,482,2.7%,18.9
2026-05-18,11,494,2.23%,16.2
2026-05-19,16,447,3.58%,21.3
2026-05-20,22,508,4.33%,20.8
2026-05-21,18,494,3.64%,19.5
2026-05-22,24,621,3.86%,14.8
2026-05-23,20,646,3.1%,20.8
2026-05-24,22,673,3.27%,18.2
2026-05-25,22,796,2.76%,16.2
2026-05-26,21,791,2.65%,19.8
2026-05-27,13,825,1.58%,18.3
2026-05-28,22,804,2.74%,13.8
2026-05-29,17,811,2.1%,13.3
2026-05-30,15,792,1.89%,15.8
2026-05-31,23,878,2.62%,14
2026-06-01,18,831,2.17%,15.8
2026-06-02,16,679,2.36%,13.9
2026-06-03,13,883,1.47%,13.9
2026-06-04,17,857,1.98%,13
2026-06-05,12,803,1.49%,13
2026-06-06,13,868,1.5%,13.4
2026-06-07,19,879,2.16%,14.6
2026-06-08,16,929,1.72%,13.4
2026-06-09,18,855,2.11%,12.7
2026-06-10,23,644,3.57%,15.1
2026-06-11,20,570,3.51%,13.2
2026-06-12,14,605,2.31%,14.8
2026-06-13,21,618,3.4%,14.4
