Country,Clicks,Impressions,CTR,Position
United States,775,35341,2.19%,20.76
Canada,17,187,9.09%,9.4
Mexico,2,48,4.17%,22.77
Bahamas,2,22,9.09%,10.09
India,1,373,0.27%,11.61
Philippines,1,32,3.12%,30.12
France,1,29,3.45%,22.55
Puerto Rico,1,19,5.26%,5.37
Australia,1,18,5.56%,25.89
Dominican Republic,1,11,9.09%,20.36
Ukraine,1,8,12.5%,19.25
Cayman Islands,1,6,16.67%,4.17
Costa Rica,1,4,25%,19
Turks & Caicos Islands,1,3,33.33%,1
United Kingdom,0,244,0%,28
Pakistan,0,122,0%,7.93
Brazil,0,79,0%,36.1
Egypt,0,57,0%,17.7
Turkey,0,57,0%,21.18
Bangladesh,0,50,0%,25.8
Argentina,0,47,0%,38.32
United Arab Emirates,0,43,0%,53.72
Vietnam,0,37,0%,29.68
Indonesia,0,36,0%,30.56
Germany,0,35,0%,17.57
Algeria,0,34,0%,15.35
Italy,0,33,0%,23.61
Russia,0,30,0%,28.13
Morocco,0,24,0%,28.21
Iraq,0,22,0%,22.91
Spain,0,21,0%,35.81
Malaysia,0,20,0%,9.1
Saudi Arabia,0,20,0%,27.45
Colombia,0,20,0%,34.9
Netherlands,0,18,0%,16.39
Thailand,0,16,0%,20.44
Portugal,0,15,0%,16.13
Tunisia,0,14,0%,10.21
Sri Lanka,0,13,0%,5.85
Chile,0,13,0%,31.46
Poland,0,12,0%,12.75
Sweden,0,12,0%,14.08
Oman,0,12,0%,22.67
Somalia,0,11,0%,2.18
Kenya,0,11,0%,15.27
Syria,0,10,0%,5.8
Lebanon,0,10,0%,12.2
Romania,0,10,0%,22.9
Japan,0,10,0%,32.4
Jordan,0,9,0%,4
Nigeria,0,9,0%,4.44
Uzbekistan,0,9,0%,13.33
South Africa,0,9,0%,15.11
Qatar,0,8,0%,4.12
Ethiopia,0,8,0%,11.5
South Korea,0,8,0%,13.25
Nepal,0,8,0%,20.88
Greece,0,7,0%,5
Trinidad & Tobago,0,6,0%,4.17
Singapore,0,6,0%,4.67
Azerbaijan,0,6,0%,11.17
Hungary,0,6,0%,17.83
Peru,0,6,0%,25.5
Iceland,0,6,0%,28
Senegal,0,5,0%,2.2
Angola,0,5,0%,3.8
Slovakia,0,5,0%,4.4
Israel,0,5,0%,12.2
Serbia,0,5,0%,20.8
Albania,0,5,0%,29.6
Kuwait,0,5,0%,55.8
Barbados,0,4,0%,2
Afghanistan,0,4,0%,2.75
Iran,0,4,0%,4.5
Finland,0,4,0%,6.5
Taiwan,0,4,0%,10.25
Bulgaria,0,4,0%,10.5
Unknown Region,0,4,0%,24.25
Austria,0,4,0%,29.5
Palestine,0,4,0%,34.25
Ecuador,0,4,0%,42.5
Kazakhstan,0,4,0%,58
Libya,0,4,0%,62.5
Zimbabwe,0,3,0%,2.33
Niger,0,3,0%,2.67
Switzerland,0,3,0%,3.67
Honduras,0,3,0%,3.67
Yemen,0,3,0%,4
China,0,3,0%,6.67
U.S. Virgin Islands,0,3,0%,7
Belgium,0,3,0%,21.67
Lithuania,0,3,0%,22.67
Guatemala,0,3,0%,28.33
Bahrain,0,3,0%,29.67
Botswana,0,3,0%,30
Ireland,0,3,0%,30.33
Hong Kong,0,3,0%,37
Venezuela,0,3,0%,39.67
Paraguay,0,3,0%,50.67
Bolivia,0,3,0%,52
Bermuda,0,2,0%,2
Sierra Leone,0,2,0%,3
Timor-Leste,0,2,0%,3
Guyana,0,2,0%,3.5
British Virgin Islands,0,2,0%,3.5
Norway,0,2,0%,4
Mauritius,0,2,0%,4.5
Luxembourg,0,2,0%,7
Cyprus,0,2,0%,8
Denmark,0,2,0%,8
Malta,0,2,0%,8
Cuba,0,2,0%,15
Curaçao,0,2,0%,20
Belarus,0,2,0%,23
Czechia,0,2,0%,24
Uruguay,0,2,0%,24
Congo - Brazzaville,0,2,0%,32
Myanmar (Burma),0,2,0%,32
Croatia,0,2,0%,35
Jamaica,0,2,0%,35
Ghana,0,2,0%,35.5
Moldova,0,2,0%,36.5
Mali,0,2,0%,39
Panama,0,2,0%,82
Djibouti,0,1,0%,2
Guam,0,1,0%,2
Bosnia & Herzegovina,0,1,0%,3
Congo - Kinshasa,0,1,0%,3
Mauritania,0,1,0%,3
Sudan,0,1,0%,3
Kyrgyzstan,0,1,0%,4
Papua New Guinea,0,1,0%,4
Uganda,0,1,0%,4
Burkina Faso,0,1,0%,5
New Zealand,0,1,0%,5
St. Vincent & Grenadines,0,1,0%,5
Aruba,0,1,0%,6
St. Lucia,0,1,0%,6
Belize,0,1,0%,7
Kosovo,0,1,0%,8
Antigua & Barbuda,0,1,0%,9
Macedonia,0,1,0%,9
Maldives,0,1,0%,10
St. Kitts & Nevis,0,1,0%,13
El Salvador,0,1,0%,18
Georgia,0,1,0%,42
Estonia,0,1,0%,47
Andorra,0,1,0%,50
Mongolia,0,1,0%,62
Brunei,0,1,0%,77
