Date,Clicks,Impressions,CTR,Position
2026-04-15,0,1,0%,10
2026-04-16,0,2,0%,11.5
2026-04-17,0,6,0%,9.3
2026-04-18,0,0,,
2026-04-19,0,2,0%,10.5
2026-04-20,0,0,,
2026-04-21,0,3,0%,8.7
2026-04-22,0,1,0%,9
2026-04-23,0,1,0%,9
2026-04-24,0,4,0%,9
2026-04-25,0,1,0%,9
2026-04-26,0,0,,
2026-04-27,0,1,0%,8
2026-04-28,0,3,0%,8
2026-04-29,0,1,0%,9
2026-04-30,0,3,0%,7.3
2026-05-01,0,5,0%,8.6
2026-05-02,0,5,0%,9.4
2026-05-03,0,1,0%,9
2026-05-04,0,1,0%,8
2026-05-05,0,5,0%,8.4
2026-05-06,0,4,0%,8.8
2026-05-07,0,1,0%,8
2026-05-08,0,5,0%,8.4
2026-05-09,0,2,0%,9.5
2026-05-10,0,1,0%,11
2026-05-11,0,2,0%,10.5
2026-05-12,0,5,0%,10.8
2026-05-13,0,2,0%,8.5
2026-05-14,0,0,,
2026-05-15,0,5,0%,10
2026-05-16,0,1,0%,8
2026-05-17,0,1,0%,11
2026-05-18,0,0,,
2026-05-19,0,5,0%,9.4
2026-05-20,0,3,0%,8.7
2026-05-21,0,6,0%,6
2026-05-22,0,1,0%,7
2026-05-23,0,8,0%,6
2026-05-24,0,2,0%,7.5
2026-05-25,0,1,0%,6
2026-05-26,0,6,0%,10.2
2026-05-27,0,2,0%,10
2026-05-28,0,8,0%,10
2026-05-29,0,0,,
2026-05-30,0,2,0%,11.5
2026-05-31,0,4,0%,11.2
2026-06-01,0,0,,
2026-06-02,0,4,0%,8.8
2026-06-03,0,5,0%,8.4
2026-06-04,0,5,0%,8
2026-06-05,0,1,0%,8
2026-06-06,0,1,0%,6
2026-06-07,0,2,0%,8.5
2026-06-08,0,5,0%,7.4
2026-06-09,0,5,0%,6
2026-06-10,0,7,0%,6.6
2026-06-11,0,1,0%,6
2026-06-12,0,1,0%,6
2026-06-13,0,3,0%,6.7
2026-06-14,0,1,0%,6
2026-06-15,0,1,0%,6
2026-06-16,0,5,0%,6.4
2026-06-17,0,8,0%,6.1
2026-06-18,0,1,0%,6
2026-06-19,0,1,0%,6
2026-06-20,0,1,0%,6
2026-06-21,0,1,0%,7
2026-06-22,0,2,0%,11.5
2026-06-23,0,6,0%,12.7
2026-06-24,0,6,0%,10.2
2026-06-25,0,0,,
2026-06-26,0,0,,
2026-06-27,0,0,,
2026-06-28,0,0,,
2026-06-29,0,0,,
2026-06-30,0,5,0%,11.6
2026-07-01,0,4,0%,11
2026-07-02,0,4,0%,14.8
2026-07-03,0,0,,
2026-07-04,0,0,,
2026-07-05,0,0,,
2026-07-06,0,2,0%,18.5
2026-07-07,0,3,0%,19.3
2026-07-08,0,3,0%,19
2026-07-09,0,5,0%,18.8
2026-07-10,0,0,,
2026-07-11,0,0,,
2026-07-12,0,0,,
2026-07-13,0,2,0%,24.5
2026-07-14,0,4,0%,19.2
