Date,Clicks,Impressions,CTR,Position
2026-04-15,0,56,0%,12.3
2026-04-16,0,42,0%,12.8
2026-04-17,0,70,0%,12.8
2026-04-18,0,52,0%,9.6
2026-04-19,0,60,0%,11.8
2026-04-20,0,74,0%,14.4
2026-04-21,0,62,0%,13.2
2026-04-22,0,47,0%,12.9
2026-04-23,0,44,0%,9.8
2026-04-24,0,59,0%,11.6
2026-04-25,0,57,0%,10.3
2026-04-26,0,41,0%,12.7
2026-04-27,0,53,0%,10
2026-04-28,0,66,0%,19.6
2026-04-29,0,88,0%,17.8
2026-04-30,0,52,0%,10.9
2026-05-01,0,60,0%,10.2
2026-05-02,0,81,0%,9.3
2026-05-03,0,58,0%,12
2026-05-04,0,47,0%,10.4
2026-05-05,0,84,0%,11.1
2026-05-06,0,63,0%,14.8
2026-05-07,0,59,0%,13.1
2026-05-08,0,70,0%,14.2
2026-05-09,0,66,0%,16.3
2026-05-10,0,51,0%,21.7
2026-05-11,0,41,0%,17.2
2026-05-12,0,60,0%,20.6
2026-05-13,0,58,0%,21
2026-05-14,0,34,0%,20.5
2026-05-15,0,53,0%,22.8
2026-05-16,0,41,0%,15.9
2026-05-17,0,42,0%,14.2
2026-05-18,0,28,0%,18.4
2026-05-19,0,51,0%,18.1
2026-05-20,0,56,0%,16.9
2026-05-21,0,54,0%,12.9
2026-05-22,0,42,0%,13.5
2026-05-23,0,112,0%,11.6
2026-05-24,0,31,0%,8.7
2026-05-25,0,40,0%,10.4
2026-05-26,0,61,0%,12.1
2026-05-27,0,69,0%,11.8
2026-05-28,0,94,0%,12.2
2026-05-29,0,54,0%,10.9
2026-05-30,0,70,0%,13.2
2026-05-31,0,69,0%,11.2
2026-06-01,0,75,0%,11.3
2026-06-02,0,84,0%,9.3
2026-06-03,0,72,0%,9.6
2026-06-04,1,85,1.18%,11.1
2026-06-05,0,74,0%,8.9
2026-06-06,0,73,0%,8.5
2026-06-07,0,82,0%,8.4
2026-06-08,0,97,0%,9.3
2026-06-09,0,71,0%,8.7
2026-06-10,0,78,0%,9.4
2026-06-11,1,56,1.79%,10.1
2026-06-12,0,66,0%,8.4
2026-06-13,0,116,0%,8.5
2026-06-14,0,63,0%,10.1
2026-06-15,0,110,0%,9.5
2026-06-16,0,70,0%,7.8
2026-06-17,0,93,0%,11.3
2026-06-18,0,68,0%,8.5
2026-06-19,0,51,0%,7.8
2026-06-20,0,112,0%,7.9
2026-06-21,0,64,0%,8.2
2026-06-22,0,85,0%,11.7
2026-06-23,0,106,0%,17.2
2026-06-24,0,75,0%,17.6
2026-06-25,0,90,0%,17.4
2026-06-26,0,80,0%,13.2
2026-06-27,0,80,0%,14.3
2026-06-28,0,73,0%,15.2
2026-06-29,0,61,0%,19.6
2026-06-30,0,45,0%,17.5
2026-07-01,0,41,0%,18.4
2026-07-02,0,54,0%,20.6
2026-07-03,0,30,0%,21
2026-07-04,0,39,0%,21
2026-07-05,0,25,0%,24.6
2026-07-06,0,29,0%,22.8
2026-07-07,0,43,0%,24.1
2026-07-08,0,34,0%,23.3
2026-07-09,0,41,0%,27.9
2026-07-10,0,26,0%,24
2026-07-11,0,30,0%,23.7
2026-07-12,0,35,0%,23
2026-07-13,0,50,0%,29.1
2026-07-14,0,37,0%,21.9
