Country,Clicks,Impressions,CTR,Position
United States,0,4941,0%,13.76
India,0,30,0%,6.13
Brazil,0,24,0%,12.38
Philippines,0,17,0%,7.12
Indonesia,0,12,0%,14.08
Germany,0,11,0%,7.91
United Kingdom,0,11,0%,32.55
Turkey,0,10,0%,8.1
Colombia,0,10,0%,13.2
Vietnam,0,9,0%,7.11
Chile,0,9,0%,11.78
Canada,0,8,0%,7
Morocco,0,7,0%,4.86
Pakistan,0,7,0%,10.86
Bangladesh,0,6,0%,13
Tunisia,0,5,0%,7.6
Argentina,0,5,0%,8.6
Iraq,0,5,0%,9.2
Spain,0,5,0%,10
Mexico,0,4,0%,3.5
Uzbekistan,0,4,0%,10.75
Russia,0,4,0%,13.75
Saudi Arabia,0,4,0%,19.5
Nepal,0,3,0%,3.67
Jamaica,0,3,0%,4
Netherlands,0,3,0%,4
Ecuador,0,3,0%,7.67
Paraguay,0,3,0%,7.67
Sweden,0,3,0%,15.67
Algeria,0,2,0%,4
Oman,0,2,0%,6
Venezuela,0,2,0%,10.5
United Arab Emirates,0,2,0%,14.5
Kenya,0,2,0%,14.5
Thailand,0,2,0%,14.5
Syria,0,2,0%,17
Egypt,0,2,0%,33.5
Australia,0,1,0%,1
Bahrain,0,1,0%,1
Switzerland,0,1,0%,1
Cambodia,0,1,0%,1
Malaysia,0,1,0%,1
Panama,0,1,0%,1
France,0,1,0%,4
Norway,0,1,0%,5
Sierra Leone,0,1,0%,5
South Africa,0,1,0%,5
Bosnia & Herzegovina,0,1,0%,6
Hong Kong,0,1,0%,6
Ethiopia,0,1,0%,7
Myanmar (Burma),0,1,0%,7
Belarus,0,1,0%,10
Kazakhstan,0,1,0%,11
Portugal,0,1,0%,11
Georgia,0,1,0%,12
Honduras,0,1,0%,14
Italy,0,1,0%,16
Greece,0,1,0%,20
Romania,0,1,0%,24
Hungary,0,1,0%,25
South Korea,0,1,0%,27
Moldova,0,1,0%,28
Lebanon,0,1,0%,31
Congo - Kinshasa,0,1,0%,38
