Date,Clicks,Impressions,CTR,Position
2026-03-30,0,12,0%,6.8
2026-03-31,0,9,0%,4.4
2026-04-01,0,8,0%,32
2026-04-02,1,5,20%,2
2026-04-03,0,8,0%,14.9
2026-04-04,0,9,0%,13.6
2026-04-05,0,9,0%,14.9
2026-04-06,0,9,0%,5.1
2026-04-07,0,12,0%,5.1
2026-04-08,0,15,0%,23.7
2026-04-09,0,7,0%,10.1
2026-04-10,0,9,0%,3.4
2026-04-11,0,15,0%,11.6
2026-04-12,0,11,0%,19.9
2026-04-13,1,17,5.88%,13
2026-04-14,0,18,0%,11.8
2026-04-15,0,19,0%,18
2026-04-16,1,10,10%,4.1
2026-04-17,0,7,0%,4.6
2026-04-18,0,5,0%,17.6
2026-04-19,0,7,0%,31.6
2026-04-20,0,7,0%,9.3
2026-04-21,0,8,0%,6.2
2026-04-22,1,15,6.67%,28.1
2026-04-23,0,9,0%,4.7
2026-04-24,0,6,0%,5.2
2026-04-25,1,8,12.5%,8.2
2026-04-26,0,9,0%,8.6
2026-04-27,1,18,5.56%,6
2026-04-28,0,10,0%,4.4
2026-04-29,0,13,0%,23.7
2026-04-30,0,4,0%,6.5
2026-05-01,0,9,0%,6.4
2026-05-02,0,14,0%,11.1
2026-05-03,2,12,16.67%,4.8
2026-05-04,0,11,0%,6.5
2026-05-05,0,5,0%,13
2026-05-06,0,16,0%,24.9
2026-05-07,0,11,0%,3.5
2026-05-08,0,4,0%,26.8
2026-05-09,0,14,0%,15.5
2026-05-10,1,4,25%,3.8
2026-05-11,0,8,0%,7.8
2026-05-12,0,12,0%,3.8
2026-05-13,0,12,0%,20.9
2026-05-14,1,5,20%,6.2
2026-05-15,0,13,0%,6.7
2026-05-16,1,7,14.29%,7.6
2026-05-17,0,3,0%,35.3
2026-05-18,0,8,0%,6.1
2026-05-19,0,3,0%,3.3
2026-05-20,0,5,0%,44.2
2026-05-21,1,5,20%,4.8
2026-05-22,0,6,0%,4
2026-05-23,0,7,0%,27.1
2026-05-24,0,10,0%,26
2026-05-25,1,11,9.09%,9.3
2026-05-26,1,17,5.88%,8.4
2026-05-27,0,13,0%,22.9
2026-05-28,0,10,0%,8.8
2026-05-29,0,18,0%,8.1
2026-05-30,0,21,0%,16
2026-05-31,0,5,0%,5.8
2026-06-01,0,4,0%,3
2026-06-02,0,4,0%,7.5
2026-06-03,0,24,0%,11.7
2026-06-04,0,12,0%,6.5
2026-06-05,0,12,0%,9.8
2026-06-06,0,4,0%,14.8
2026-06-07,0,7,0%,7.1
2026-06-08,0,9,0%,5.6
2026-06-09,0,14,0%,10
2026-06-10,0,14,0%,3.6
2026-06-11,0,26,0%,3.5
2026-06-12,1,11,9.09%,4.5
2026-06-13,1,18,5.56%,5.4
2026-06-14,1,14,7.14%,6.1
2026-06-15,0,16,0%,3.5
2026-06-16,0,11,0%,22.6
2026-06-17,0,7,0%,4.1
2026-06-18,0,7,0%,5.4
2026-06-19,0,6,0%,4.2
2026-06-20,0,11,0%,5.3
2026-06-21,0,3,0%,3.7
2026-06-22,0,7,0%,7.1
2026-06-23,0,7,0%,36.9
2026-06-24,1,17,5.88%,16.8
2026-06-25,0,22,0%,6.5
2026-06-26,0,18,0%,10.8
2026-06-27,0,20,0%,9.2
2026-06-28,0,15,0%,4.4
2026-06-29,0,10,0%,16.9
