Date,Clicks,Impressions,CTR,Position
2026-03-18,4,79,5.06%,6.8
2026-03-19,2,113,1.77%,3.5
2026-03-20,0,109,0%,6.8
2026-03-21,0,123,0%,2.8
2026-03-22,1,129,0.78%,5
2026-03-23,1,103,0.97%,3.4
2026-03-24,3,112,2.68%,3.4
2026-03-25,0,108,0%,4.9
2026-03-26,0,113,0%,3.5
2026-03-27,0,98,0%,5.9
2026-03-28,1,131,0.76%,3.3
2026-03-29,1,99,1.01%,6.8
2026-03-30,0,92,0%,3
2026-03-31,1,87,1.15%,4.5
2026-04-01,2,93,2.15%,7.2
2026-04-02,0,152,0%,3.8
2026-04-03,1,135,0.74%,3.6
2026-04-04,3,114,2.63%,2.5
2026-04-05,0,108,0%,4.7
2026-04-06,0,107,0%,3.1
2026-04-07,0,101,0%,2.3
2026-04-08,0,96,0%,5.5
2026-04-09,1,135,0.74%,3.1
2026-04-10,0,99,0%,5.5
2026-04-11,0,119,0%,4.2
2026-04-12,2,116,1.72%,4.7
2026-04-13,0,112,0%,4.4
2026-04-14,1,111,0.9%,2.4
2026-04-15,1,118,0.85%,6.1
2026-04-16,1,100,1%,2.9
2026-04-17,1,99,1.01%,4.8
2026-04-18,1,109,0.92%,2.8
2026-04-19,0,98,0%,6.4
2026-04-20,1,83,1.2%,3.5
2026-04-21,1,63,1.59%,4.9
2026-04-22,1,89,1.12%,6.7
2026-04-23,1,58,1.72%,5.7
2026-04-24,1,75,1.33%,6.6
2026-04-25,1,90,1.11%,6
2026-04-26,0,99,0%,8.9
2026-04-27,0,67,0%,4.8
2026-04-28,0,58,0%,5.3
2026-04-29,0,70,0%,9
2026-04-30,0,51,0%,5.2
2026-05-01,1,70,1.43%,6.6
2026-05-02,1,73,1.37%,5.2
2026-05-03,1,75,1.33%,7.2
2026-05-04,1,61,1.64%,4.9
2026-05-05,3,60,5%,4.2
2026-05-06,1,80,1.25%,7.7
2026-05-07,0,41,0%,5.2
2026-05-08,2,84,2.38%,8.3
2026-05-09,0,62,0%,5.6
2026-05-10,2,78,2.56%,4.6
2026-05-11,1,62,1.61%,6.2
2026-05-12,2,67,2.99%,4.4
2026-05-13,0,72,0%,7.3
2026-05-14,0,80,0%,9.2
2026-05-15,0,73,0%,8
2026-05-16,0,61,0%,7
2026-05-17,2,82,2.44%,4.4
2026-05-18,0,68,0%,5.9
2026-05-19,0,84,0%,4.6
2026-05-20,1,67,1.49%,12.4
2026-05-21,1,61,1.64%,6.5
2026-05-22,2,66,3.03%,5.2
2026-05-23,0,74,0%,6.5
2026-05-24,1,68,1.47%,5.7
2026-05-25,0,72,0%,5.8
2026-05-26,0,109,0%,5.6
2026-05-27,0,79,0%,9.7
2026-05-28,2,74,2.7%,8.2
2026-05-29,2,91,2.2%,5.5
2026-05-30,1,84,1.19%,5.3
2026-05-31,2,69,2.9%,5.5
2026-06-01,0,73,0%,6.1
2026-06-02,3,81,3.7%,5.2
2026-06-03,1,59,1.69%,8.5
2026-06-04,3,95,3.16%,8.3
2026-06-05,1,88,1.14%,5.7
2026-06-06,3,97,3.09%,5.9
2026-06-07,1,76,1.32%,5.2
2026-06-08,0,67,0%,5.3
2026-06-09,2,87,2.3%,8.3
2026-06-10,0,88,0%,7.6
2026-06-11,0,87,0%,5.2
2026-06-12,1,63,1.59%,4.9
2026-06-13,3,81,3.7%,5
2026-06-14,1,84,1.19%,4.1
2026-06-15,2,74,2.7%,4.8
2026-06-16,1,89,1.12%,9.4
2026-06-17,1,112,0.89%,6.6
