Country,Clicks,Impressions,CTR,Position
United States,21,2935,0.72%,7.53
Canada,1,21,4.76%,5.14
Puerto Rico,0,128,0%,4.36
Mexico,0,25,0%,4.32
Honduras,0,23,0%,4.13
Venezuela,0,22,0%,1.68
Dominican Republic,0,17,0%,4.94
Spain,0,15,0%,1.73
El Salvador,0,7,0%,1.86
Chile,0,5,0%,4.8
Cuba,0,4,0%,7.25
Colombia,0,4,0%,12.75
Costa Rica,0,3,0%,4
Guatemala,0,3,0%,5
China,0,3,0%,10.33
Nicaragua,0,2,0%,1
Argentina,0,2,0%,4.5
Lithuania,0,1,0%,1
Panama,0,1,0%,1
Portugal,0,1,0%,1
Uruguay,0,1,0%,1
Australia,0,1,0%,3
Italy,0,1,0%,4
Paraguay,0,1,0%,4
Brazil,0,1,0%,12
Vietnam,0,1,0%,16
