Date,Clicks,Impressions,CTR,Position
2026-03-16,0,35,0%,6.4
2026-03-17,0,40,0%,7.5
2026-03-18,0,14,0%,9.5
2026-03-19,0,16,0%,6.8
2026-03-20,0,20,0%,7.2
2026-03-21,0,18,0%,5.8
2026-03-22,0,20,0%,13.8
2026-03-23,0,20,0%,15.8
2026-03-24,0,14,0%,8
2026-03-25,0,30,0%,13
2026-03-26,0,24,0%,5.1
2026-03-27,0,20,0%,4.7
2026-03-28,0,30,0%,7
2026-03-29,0,11,0%,13.8
2026-03-30,0,28,0%,5.6
2026-03-31,0,8,0%,8.9
2026-04-01,0,20,0%,8.9
2026-04-02,0,15,0%,6
2026-04-03,0,18,0%,6.8
2026-04-04,0,10,0%,4.2
2026-04-05,0,12,0%,15.8
2026-04-06,0,17,0%,11.9
2026-04-07,0,33,0%,7.5
2026-04-08,0,23,0%,18.3
2026-04-09,0,13,0%,4.4
2026-04-10,0,17,0%,7.6
2026-04-11,0,21,0%,9.8
2026-04-12,0,17,0%,27.6
2026-04-13,0,11,0%,8.9
2026-04-14,0,18,0%,8.4
2026-04-15,0,26,0%,13.9
2026-04-16,0,19,0%,8.1
2026-04-17,0,11,0%,9.3
2026-04-18,0,18,0%,6
2026-04-19,0,22,0%,14.5
2026-04-20,0,16,0%,8.4
2026-04-21,0,18,0%,7.2
2026-04-22,0,23,0%,24.6
2026-04-23,0,9,0%,5.6
2026-04-24,0,11,0%,12.1
2026-04-25,0,9,0%,14.3
2026-04-26,0,11,0%,17.9
2026-04-27,0,13,0%,10.2
2026-04-28,1,7,14.29%,7.7
2026-04-29,0,18,0%,21.2
2026-04-30,0,8,0%,8.6
2026-05-01,0,7,0%,9.6
2026-05-02,0,5,0%,12
2026-05-03,0,12,0%,14.5
2026-05-04,0,14,0%,13.4
2026-05-05,0,13,0%,7.5
2026-05-06,0,19,0%,20.1
2026-05-07,0,10,0%,9.1
2026-05-08,0,19,0%,11.9
2026-05-09,0,14,0%,19.4
2026-05-10,0,10,0%,10
2026-05-11,0,25,0%,10.6
2026-05-12,0,16,0%,7.8
2026-05-13,0,15,0%,30.7
2026-05-14,0,16,0%,18.9
2026-05-15,0,15,0%,7.5
2026-05-16,0,19,0%,11.5
2026-05-17,0,12,0%,6.2
2026-05-18,0,30,0%,9.4
2026-05-19,0,33,0%,10.3
2026-05-20,0,24,0%,23.6
2026-05-21,0,30,0%,5.8
2026-05-22,0,13,0%,9.8
2026-05-23,0,29,0%,13.3
2026-05-24,0,24,0%,8.4
2026-05-25,0,25,0%,7
2026-05-26,0,34,0%,7.3
2026-05-27,0,20,0%,11
2026-05-28,1,34,2.94%,7.4
2026-05-29,0,15,0%,7.1
2026-05-30,0,16,0%,13
2026-05-31,0,23,0%,8
2026-06-01,0,35,0%,8.4
2026-06-02,0,44,0%,7.6
2026-06-03,0,40,0%,15.7
2026-06-04,0,50,0%,7.6
2026-06-05,0,35,0%,7.9
2026-06-06,0,45,0%,8.9
2026-06-07,0,32,0%,8.3
2026-06-08,0,41,0%,8.9
2026-06-09,0,50,0%,11.3
2026-06-10,0,57,0%,10.1
2026-06-11,0,44,0%,10.8
2026-06-12,0,40,0%,10.8
2026-06-13,0,37,0%,10.9
2026-06-14,0,24,0%,10.1
2026-06-15,0,37,0%,12.4
