Date,Clicks,Impressions,CTR,Position
2026-03-28,0,0,,
2026-03-29,0,0,,
2026-03-30,0,0,,
2026-03-31,0,0,,
2026-04-01,0,0,,
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,0,,
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,0,,
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,0,,
2026-04-17,0,0,,
2026-04-18,0,0,,
2026-04-19,0,0,,
2026-04-20,0,0,,
2026-04-21,0,0,,
2026-04-22,0,0,,
2026-04-23,0,0,,
2026-04-24,0,0,,
2026-04-25,0,0,,
2026-04-26,0,0,,
2026-04-27,0,0,,
2026-04-28,0,0,,
2026-04-29,0,0,,
2026-04-30,0,0,,
2026-05-01,0,0,,
2026-05-02,0,0,,
2026-05-03,0,0,,
2026-05-04,0,0,,
2026-05-05,0,0,,
2026-05-06,0,0,,
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,0,,
2026-05-12,0,0,,
2026-05-13,0,0,,
2026-05-14,0,0,,
2026-05-15,0,0,,
2026-05-16,0,0,,
2026-05-17,0,0,,
2026-05-18,0,0,,
2026-05-19,0,0,,
2026-05-20,0,3,0%,28.7
2026-05-21,0,1,0%,2
2026-05-22,0,2,0%,15.5
2026-05-23,0,3,0%,1.3
2026-05-24,0,3,0%,9.7
2026-05-25,0,2,0%,1.5
2026-05-26,0,3,0%,1.3
2026-05-27,0,1,0%,2
2026-05-28,0,3,0%,2.7
2026-05-29,0,4,0%,18
2026-05-30,0,2,0%,1.5
2026-05-31,0,2,0%,2
2026-06-01,0,1,0%,2
2026-06-02,0,2,0%,3.5
2026-06-03,0,3,0%,14.3
2026-06-04,0,4,0%,14.2
2026-06-05,0,4,0%,2
2026-06-06,0,2,0%,2
2026-06-07,0,3,0%,16
2026-06-08,0,5,0%,22.6
2026-06-09,0,1,0%,3
2026-06-10,0,3,0%,2.7
2026-06-11,0,1,0%,4
2026-06-12,0,2,0%,2.5
2026-06-13,0,3,0%,2
2026-06-14,0,3,0%,1.3
2026-06-15,0,4,0%,9
2026-06-16,0,3,0%,18
2026-06-17,0,2,0%,1.5
2026-06-18,0,2,0%,1.5
2026-06-19,0,2,0%,2.5
2026-06-20,0,3,0%,8.3
2026-06-21,0,1,0%,1
2026-06-22,0,4,0%,1.8
2026-06-23,0,2,0%,1.5
2026-06-24,0,2,0%,1.5
2026-06-25,0,1,0%,1
2026-06-26,0,4,0%,1.5
2026-06-27,0,1,0%,1
