Date,Clicks,Impressions,CTR,Position
2026-03-28,0,6,0%,23.3
2026-03-29,1,8,12.5%,6.5
2026-03-30,0,3,0%,8
2026-03-31,0,8,0%,2
2026-04-01,0,6,0%,8.2
2026-04-02,0,8,0%,19.9
2026-04-03,0,5,0%,2.2
2026-04-04,0,5,0%,6.4
2026-04-05,0,7,0%,5.9
2026-04-06,0,6,0%,4.3
2026-04-07,0,2,0%,4.5
2026-04-08,0,6,0%,6.3
2026-04-09,0,7,0%,3.3
2026-04-10,0,4,0%,4.5
2026-04-11,0,3,0%,27
2026-04-12,0,3,0%,8.3
2026-04-13,0,4,0%,5.2
2026-04-14,0,13,0%,2.3
2026-04-15,0,4,0%,3
2026-04-16,0,5,0%,19.8
2026-04-17,0,9,0%,21.2
2026-04-18,0,14,0%,16.7
2026-04-19,0,8,0%,21
2026-04-20,0,6,0%,4
2026-04-21,0,0,,
2026-04-22,1,5,20%,27.6
2026-04-23,0,2,0%,6
2026-04-24,0,1,0%,5
2026-04-25,0,9,0%,10.2
2026-04-26,0,14,0%,11.4
2026-04-27,0,11,0%,8.4
2026-04-28,0,8,0%,11.1
2026-04-29,0,8,0%,11.1
2026-04-30,1,14,7.14%,8.2
2026-05-01,0,12,0%,15
2026-05-02,0,7,0%,13.6
2026-05-03,0,9,0%,16.3
2026-05-04,0,15,0%,18.7
2026-05-05,0,7,0%,6.3
2026-05-06,0,8,0%,7.8
2026-05-07,0,8,0%,14.1
2026-05-08,0,21,0%,10.7
2026-05-09,0,11,0%,9
2026-05-10,0,4,0%,12.5
2026-05-11,0,20,0%,13.2
2026-05-12,0,12,0%,6.3
2026-05-13,0,13,0%,11.5
2026-05-14,0,6,0%,12.3
2026-05-15,0,8,0%,10.9
2026-05-16,0,11,0%,17.5
2026-05-17,0,8,0%,11.9
2026-05-18,0,5,0%,15.4
2026-05-19,0,8,0%,11.9
2026-05-20,0,7,0%,12.3
2026-05-21,0,9,0%,17.6
2026-05-22,0,9,0%,21.7
2026-05-23,0,12,0%,10.8
2026-05-24,0,5,0%,13.8
2026-05-25,0,14,0%,16.4
2026-05-26,0,7,0%,8.9
2026-05-27,0,6,0%,27
2026-05-28,0,12,0%,23.7
2026-05-29,0,10,0%,13.9
2026-05-30,0,11,0%,29.1
2026-05-31,0,13,0%,15.8
2026-06-01,0,9,0%,12.9
2026-06-02,0,7,0%,7
2026-06-03,0,16,0%,11.8
2026-06-04,0,9,0%,8.2
2026-06-05,0,19,0%,11.8
2026-06-06,0,19,0%,8.1
2026-06-07,0,10,0%,15.5
2026-06-08,0,8,0%,13.5
2026-06-09,0,16,0%,6.9
2026-06-10,0,23,0%,11.6
2026-06-11,0,10,0%,15.1
2026-06-12,0,10,0%,21.7
2026-06-13,0,10,0%,17
2026-06-14,0,8,0%,8.8
2026-06-15,0,16,0%,16.8
2026-06-16,0,10,0%,16.9
2026-06-17,0,13,0%,11.6
2026-06-18,2,13,15.38%,10.5
2026-06-19,0,9,0%,12.3
2026-06-20,0,17,0%,16.1
2026-06-21,0,4,0%,16.8
2026-06-22,0,17,0%,18.9
2026-06-23,0,13,0%,8.2
2026-06-24,0,16,0%,12.4
2026-06-25,0,7,0%,15.6
2026-06-26,0,14,0%,10.8
2026-06-27,0,8,0%,15.8
