Date,Clicks,Impressions,CTR,Position
2026-03-28,0,13,0%,28.6
2026-03-29,0,24,0%,24.5
2026-03-30,0,23,0%,34.7
2026-03-31,0,24,0%,16.9
2026-04-01,0,28,0%,26.6
2026-04-02,0,16,0%,20.4
2026-04-03,0,15,0%,16.7
2026-04-04,0,24,0%,18.1
2026-04-05,0,29,0%,24.6
2026-04-06,0,37,0%,16.4
2026-04-07,1,16,6.25%,18.4
2026-04-08,0,22,0%,15.1
2026-04-09,0,15,0%,14
2026-04-10,0,30,0%,24.2
2026-04-11,1,26,3.85%,14.8
2026-04-12,0,46,0%,29.8
2026-04-13,0,59,0%,28.6
2026-04-14,0,28,0%,19.1
2026-04-15,0,11,0%,13.9
2026-04-16,0,27,0%,23.9
2026-04-17,0,23,0%,27.4
2026-04-18,0,23,0%,19.7
2026-04-19,0,11,0%,21.8
2026-04-20,0,19,0%,21.3
2026-04-21,0,13,0%,26.6
2026-04-22,0,22,0%,53.7
2026-04-23,1,10,10%,33.1
2026-04-24,0,18,0%,24.9
2026-04-25,0,32,0%,29.2
2026-04-26,0,27,0%,25.2
2026-04-27,1,19,5.26%,18.3
2026-04-28,0,16,0%,23.5
2026-04-29,0,17,0%,37.9
2026-04-30,0,23,0%,24.4
2026-05-01,0,16,0%,26.4
2026-05-02,0,24,0%,30
2026-05-03,0,23,0%,26
2026-05-04,0,22,0%,21.1
2026-05-05,0,25,0%,23.5
2026-05-06,0,29,0%,34.8
2026-05-07,0,31,0%,34.9
2026-05-08,0,21,0%,25.2
2026-05-09,1,26,3.85%,28
2026-05-10,0,39,0%,26.7
2026-05-11,0,34,0%,24.3
2026-05-12,1,46,2.17%,33
2026-05-13,0,26,0%,28.7
2026-05-14,0,32,0%,29.9
2026-05-15,1,25,4%,22.2
2026-05-16,0,24,0%,17.5
2026-05-17,0,29,0%,29.2
2026-05-18,0,33,0%,28.1
2026-05-19,0,24,0%,22.7
2026-05-20,0,22,0%,23.6
2026-05-21,0,36,0%,23.4
2026-05-22,0,29,0%,14.4
2026-05-23,0,59,0%,15.9
2026-05-24,0,57,0%,16.9
2026-05-25,0,50,0%,16.3
2026-05-26,0,31,0%,16.7
2026-05-27,0,50,0%,15
2026-05-28,1,30,3.33%,16.5
2026-05-29,0,45,0%,15.5
2026-05-30,0,33,0%,17.8
2026-05-31,0,39,0%,12.9
2026-06-01,0,26,0%,22.4
2026-06-02,0,47,0%,17.8
2026-06-03,0,18,0%,14.1
2026-06-04,0,35,0%,18.2
2026-06-05,1,39,2.56%,16.9
2026-06-06,0,34,0%,19.1
2026-06-07,0,27,0%,17.3
2026-06-08,0,60,0%,14.1
2026-06-09,0,36,0%,14.2
2026-06-10,0,42,0%,12.7
2026-06-11,0,25,0%,13.6
2026-06-12,0,37,0%,17.9
2026-06-13,0,37,0%,18.8
2026-06-14,0,27,0%,14.6
2026-06-15,0,55,0%,13.9
2026-06-16,0,40,0%,17.4
2026-06-17,0,35,0%,14.7
2026-06-18,0,46,0%,19.5
2026-06-19,0,35,0%,19.9
2026-06-20,0,33,0%,16.3
2026-06-21,0,27,0%,12.4
2026-06-22,0,34,0%,14.9
2026-06-23,1,54,1.85%,16.4
2026-06-24,0,63,0%,18.5
2026-06-25,0,56,0%,19
2026-06-26,0,43,0%,14.7
2026-06-27,0,46,0%,15.1
