Country,Clicks,Impressions,CTR,Position
United States,1,1345,0.07%,24.95
Aruba,1,1,100%,4
Israel,1,1,100%,4
United Kingdom,0,101,0%,29.32
United Arab Emirates,0,54,0%,21.48
Canada,0,21,0%,27.95
Brazil,0,15,0%,26.47
India,0,14,0%,24.29
Philippines,0,14,0%,28.14
Mexico,0,9,0%,22.56
France,0,8,0%,22.5
Australia,0,8,0%,32
Poland,0,6,0%,22.67
Japan,0,6,0%,23.67
Turkey,0,5,0%,26.2
Vietnam,0,5,0%,26.6
Singapore,0,4,0%,16.5
Spain,0,4,0%,24.5
Chile,0,4,0%,26.5
Argentina,0,4,0%,27.25
Indonesia,0,4,0%,27.25
Hungary,0,3,0%,13.33
Germany,0,3,0%,28.33
Italy,0,3,0%,29
Ethiopia,0,3,0%,29.33
Iraq,0,3,0%,36.67
Kenya,0,2,0%,8
Malaysia,0,2,0%,18
Netherlands,0,2,0%,18
Syria,0,2,0%,24
Croatia,0,2,0%,26
Peru,0,2,0%,26.5
Pakistan,0,2,0%,27
Bangladesh,0,2,0%,29
Dominican Republic,0,2,0%,31.5
Nepal,0,2,0%,36
Ecuador,0,2,0%,39.5
Jordan,0,2,0%,48
Saudi Arabia,0,2,0%,54
Bulgaria,0,1,0%,1
Taiwan,0,1,0%,1
Lithuania,0,1,0%,6
Austria,0,1,0%,7
Switzerland,0,1,0%,7
Tanzania,0,1,0%,8
Ghana,0,1,0%,11
Guinea-Bissau,0,1,0%,13
Czechia,0,1,0%,19
Honduras,0,1,0%,24
Malta,0,1,0%,24
New Zealand,0,1,0%,24
Thailand,0,1,0%,24
Ireland,0,1,0%,25
Romania,0,1,0%,26
Egypt,0,1,0%,27
Uruguay,0,1,0%,27
Lebanon,0,1,0%,30
Oman,0,1,0%,30
Senegal,0,1,0%,30
Albania,0,1,0%,31
Russia,0,1,0%,33
Morocco,0,1,0%,36
Belgium,0,1,0%,37
Curaçao,0,1,0%,42
China,0,1,0%,48
Greece,0,1,0%,86
