Date,Clicks,Impressions,CTR,Position
2026-03-28,0,132,0%,5.8
2026-03-29,1,128,0.78%,6.9
2026-03-30,0,126,0%,5.5
2026-03-31,2,158,1.27%,4.8
2026-04-01,0,172,0%,5.2
2026-04-02,1,111,0.9%,7.1
2026-04-03,0,146,0%,6.8
2026-04-04,2,151,1.32%,4.5
2026-04-05,0,145,0%,6.2
2026-04-06,1,128,0.78%,5.2
2026-04-07,0,124,0%,5.8
2026-04-08,1,161,0.62%,6.5
2026-04-09,0,137,0%,5.2
2026-04-10,2,123,1.63%,7.1
2026-04-11,2,132,1.52%,7.4
2026-04-12,0,135,0%,5.8
2026-04-13,1,139,0.72%,5.7
2026-04-14,1,165,0.61%,9.1
2026-04-15,1,159,0.63%,8.5
2026-04-16,0,174,0%,9.4
2026-04-17,0,140,0%,7.3
2026-04-18,3,135,2.22%,6.5
2026-04-19,2,141,1.42%,7.6
2026-04-20,1,110,0.91%,7.6
2026-04-21,1,146,0.68%,6.7
2026-04-22,0,140,0%,7.4
2026-04-23,0,147,0%,9.8
2026-04-24,1,138,0.72%,8.4
2026-04-25,3,134,2.24%,8.3
2026-04-26,1,104,0.96%,9.3
2026-04-27,2,117,1.71%,8.6
2026-04-28,0,109,0%,7.7
2026-04-29,1,126,0.79%,7.5
2026-04-30,0,113,0%,8.7
2026-05-01,3,131,2.29%,10.1
2026-05-02,1,116,0.86%,9.1
2026-05-03,1,108,0.93%,8.8
2026-05-04,0,99,0%,7
2026-05-05,1,117,0.85%,9.1
2026-05-06,0,111,0%,9
2026-05-07,2,118,1.69%,8.1
2026-05-08,0,92,0%,12.1
2026-05-09,0,68,0%,10.2
2026-05-10,0,81,0%,8.7
2026-05-11,1,72,1.39%,8.7
2026-05-12,0,105,0%,6.9
2026-05-13,0,110,0%,8.6
2026-05-14,1,120,0.83%,11.5
2026-05-15,1,101,0.99%,9.1
2026-05-16,1,130,0.77%,13.5
2026-05-17,1,90,1.11%,11.3
2026-05-18,1,130,0.77%,8.6
2026-05-19,0,129,0%,7.4
2026-05-20,0,128,0%,9.4
2026-05-21,2,99,2.02%,10.6
2026-05-22,1,94,1.06%,11.3
2026-05-23,1,157,0.64%,10.9
2026-05-24,1,183,0.55%,7.6
2026-05-25,0,135,0%,8.2
2026-05-26,1,148,0.68%,10.4
2026-05-27,4,146,2.74%,7.5
2026-05-28,2,158,1.27%,8.4
2026-05-29,3,190,1.58%,7.5
2026-05-30,1,177,0.56%,10.1
2026-05-31,3,191,1.57%,8.9
2026-06-01,1,173,0.58%,8.3
2026-06-02,3,189,1.59%,6.9
2026-06-03,2,166,1.2%,7.7
2026-06-04,2,153,1.31%,8.9
2026-06-05,3,121,2.48%,6.4
2026-06-06,0,131,0%,7.7
2026-06-07,0,125,0%,7.4
2026-06-08,4,143,2.8%,6.2
2026-06-09,3,131,2.29%,7.5
2026-06-10,0,139,0%,7.6
2026-06-11,1,131,0.76%,6.8
2026-06-12,0,136,0%,7.7
2026-06-13,2,131,1.53%,7.2
2026-06-14,3,141,2.13%,6.6
2026-06-15,2,155,1.29%,8.2
2026-06-16,1,126,0.79%,8.3
2026-06-17,0,167,0%,8.5
2026-06-18,1,143,0.7%,6
2026-06-19,1,125,0.8%,6.9
2026-06-20,0,135,0%,8
2026-06-21,1,130,0.77%,6.8
2026-06-22,1,145,0.69%,6.6
2026-06-23,0,164,0%,7.5
2026-06-24,1,134,0.75%,6.9
2026-06-25,0,139,0%,7.6
2026-06-26,0,105,0%,7.3
2026-06-27,0,136,0%,14.7
