Country,Clicks,Impressions,CTR,Position
United States,19,3747,0.51%,9.23
Mexico,0,258,0%,41
Colombia,0,81,0%,32.91
Venezuela,0,67,0%,7.58
Puerto Rico,0,56,0%,6.09
Argentina,0,51,0%,20.92
Brazil,0,44,0%,4.86
Spain,0,39,0%,32.62
Dominican Republic,0,32,0%,8.25
Cuba,0,19,0%,6
Honduras,0,18,0%,7.06
Chile,0,16,0%,2.38
Guatemala,0,14,0%,8.21
El Salvador,0,13,0%,8.62
Panama,0,13,0%,10.62
Peru,0,9,0%,10.89
Nicaragua,0,8,0%,5.5
Ecuador,0,8,0%,10.25
Canada,0,8,0%,16.5
Costa Rica,0,7,0%,12.29
Singapore,0,6,0%,8.67
Uruguay,0,4,0%,11.5
Indonesia,0,3,0%,16.67
India,0,3,0%,35
United Kingdom,0,3,0%,52
Pakistan,0,2,0%,3
Germany,0,2,0%,6
Bolivia,0,2,0%,7
Japan,0,2,0%,9.5
Paraguay,0,2,0%,9.5
Morocco,0,1,0%,1
Papua New Guinea,0,1,0%,2
Italy,0,1,0%,8
South Korea,0,1,0%,8
Nigeria,0,1,0%,8
Netherlands,0,1,0%,8
Turkey,0,1,0%,8
Malaysia,0,1,0%,10
Algeria,0,1,0%,11
Latvia,0,1,0%,11
Trinidad & Tobago,0,1,0%,12
St. Vincent & Grenadines,0,1,0%,12
