Date,Clicks,Impressions,CTR,Position
2026-03-28,0,64,0%,17.1
2026-03-29,2,53,3.77%,8.3
2026-03-30,0,64,0%,21.2
2026-03-31,2,33,6.06%,3.2
2026-04-01,1,54,1.85%,6.5
2026-04-02,1,43,2.33%,4.9
2026-04-03,0,25,0%,3.3
2026-04-04,1,49,2.04%,4.8
2026-04-05,0,44,0%,7
2026-04-06,0,54,0%,13.4
2026-04-07,0,47,0%,7.3
2026-04-08,1,41,2.44%,9.4
2026-04-09,1,53,1.89%,14.1
2026-04-10,2,36,5.56%,8.6
2026-04-11,2,72,2.78%,18.2
2026-04-12,0,50,0%,5.2
2026-04-13,1,57,1.75%,8.3
2026-04-14,3,47,6.38%,10.4
2026-04-15,3,53,5.66%,9.5
2026-04-16,2,50,4%,17.4
2026-04-17,2,27,7.41%,3.1
2026-04-18,1,65,1.54%,14
2026-04-19,0,39,0%,7.3
2026-04-20,1,57,1.75%,9.1
2026-04-21,0,36,0%,5.1
2026-04-22,0,40,0%,10.1
2026-04-23,2,51,3.92%,16.3
2026-04-24,0,29,0%,4.1
2026-04-25,2,58,3.45%,12.6
2026-04-26,1,60,1.67%,5.8
2026-04-27,0,72,0%,11.7
2026-04-28,0,49,0%,9.7
2026-04-29,2,45,4.44%,5.6
2026-04-30,2,47,4.26%,9.4
2026-05-01,2,30,6.67%,6
2026-05-02,0,59,0%,13.5
2026-05-03,1,58,1.72%,7
2026-05-04,1,56,1.79%,17.9
2026-05-05,2,55,3.64%,10.2
2026-05-06,1,50,2%,5.8
2026-05-07,1,56,1.79%,12.4
2026-05-08,2,40,5%,9.6
2026-05-09,1,64,1.56%,18.4
2026-05-10,1,50,2%,8.2
2026-05-11,1,64,1.56%,11.1
2026-05-12,1,44,2.27%,8.1
2026-05-13,0,49,0%,15.3
2026-05-14,1,44,2.27%,8.5
2026-05-15,2,36,5.56%,4
2026-05-16,1,52,1.92%,10.2
2026-05-17,1,46,2.17%,6.6
2026-05-18,0,54,0%,12.1
2026-05-19,0,42,0%,12.5
2026-05-20,4,63,6.35%,9.2
2026-05-21,0,59,0%,14.9
2026-05-22,0,43,0%,11.2
2026-05-23,1,56,1.79%,13.3
2026-05-24,0,66,0%,6.8
2026-05-25,3,66,4.55%,7.4
2026-05-26,0,51,0%,8.2
2026-05-27,1,47,2.13%,8.4
2026-05-28,2,53,3.77%,5.1
2026-05-29,0,53,0%,3.7
2026-05-30,0,60,0%,14.1
2026-05-31,1,64,1.56%,7.3
2026-06-01,2,62,3.23%,16.8
2026-06-02,2,36,5.56%,8.7
2026-06-03,2,48,4.17%,12.5
2026-06-04,2,52,3.85%,15
2026-06-05,0,38,0%,7.3
2026-06-06,1,53,1.89%,10
2026-06-07,0,60,0%,12.6
2026-06-08,2,64,3.12%,13.3
2026-06-09,1,53,1.89%,12.8
2026-06-10,1,74,1.35%,21.1
2026-06-11,1,36,2.78%,8.3
2026-06-12,3,39,7.69%,7.6
2026-06-13,1,66,1.52%,18.5
2026-06-14,0,82,0%,12.8
2026-06-15,0,69,0%,10.8
2026-06-16,3,48,6.25%,8.2
2026-06-17,1,69,1.45%,17.8
2026-06-18,2,45,4.44%,5.6
2026-06-19,0,38,0%,8.5
2026-06-20,1,57,1.75%,6.5
2026-06-21,3,66,4.55%,10.9
2026-06-22,1,31,3.23%,7
2026-06-23,4,48,8.33%,10.9
2026-06-24,0,61,0%,16.3
2026-06-25,2,36,5.56%,7
2026-06-26,1,35,2.86%,6.1
2026-06-27,0,42,0%,8.7
