Country,Clicks,Impressions,CTR,Position
United States,91,4482,2.03%,10.96
Canada,3,40,7.5%,3.12
Mexico,2,6,33.33%,3.5
United Kingdom,1,19,5.26%,8.89
Vietnam,1,6,16.67%,2.67
Costa Rica,1,2,50%,2.5
U.S. Virgin Islands,1,2,50%,2.5
Switzerland,1,1,100%,2
Trinidad & Tobago,1,1,100%,3
India,0,18,0%,4
Brazil,0,17,0%,6.82
Germany,0,12,0%,3.25
Italy,0,7,0%,15.43
Turkey,0,6,0%,2.67
Argentina,0,5,0%,3.8
Russia,0,5,0%,4.6
Egypt,0,4,0%,3.25
Pakistan,0,4,0%,3.5
Saudi Arabia,0,3,0%,3.67
France,0,2,0%,2
Georgia,0,2,0%,2.5
Ukraine,0,2,0%,2.5
Bangladesh,0,2,0%,3
Colombia,0,2,0%,3
Cyprus,0,2,0%,3
Iceland,0,2,0%,3
Mongolia,0,2,0%,3
Netherlands,0,2,0%,3
Oman,0,2,0%,3
Chile,0,2,0%,3.5
Spain,0,2,0%,3.5
Israel,0,2,0%,3.5
Venezuela,0,2,0%,3.5
Morocco,0,2,0%,4
Bulgaria,0,2,0%,11
Greece,0,2,0%,71.5
Azerbaijan,0,1,0%,2
Algeria,0,1,0%,2
Gabon,0,1,0%,2
Romania,0,1,0%,2
Togo,0,1,0%,2
Thailand,0,1,0%,2
Australia,0,1,0%,3
Bahamas,0,1,0%,3
Czechia,0,1,0%,3
Dominican Republic,0,1,0%,3
Guyana,0,1,0%,3
Indonesia,0,1,0%,3
Kazakhstan,0,1,0%,3
Kyrgyzstan,0,1,0%,3
South Korea,0,1,0%,3
Montserrat,0,1,0%,3
Nepal,0,1,0%,3
Philippines,0,1,0%,3
Puerto Rico,0,1,0%,3
Palestine,0,1,0%,3
Serbia,0,1,0%,3
Syria,0,1,0%,3
Turks & Caicos Islands,0,1,0%,3
Uruguay,0,1,0%,3
Nicaragua,0,1,0%,4
Uzbekistan,0,1,0%,6
South Africa,0,1,0%,16
United Arab Emirates,0,1,0%,67
