Date,Clicks,Impressions,CTR,Position
2026-03-28,7,516,1.36%,9.7
2026-03-29,11,520,2.12%,9.6
2026-03-30,5,578,0.87%,9.2
2026-03-31,8,492,1.63%,9.9
2026-04-01,4,613,0.65%,11.2
2026-04-02,3,545,0.55%,12.3
2026-04-03,7,459,1.53%,10.2
2026-04-04,4,439,0.91%,9.7
2026-04-05,4,463,0.86%,10.2
2026-04-06,7,504,1.39%,9.8
2026-04-07,3,610,0.49%,9.7
2026-04-08,6,561,1.07%,11.3
2026-04-09,10,476,2.1%,10.3
2026-04-10,9,432,2.08%,10.4
2026-04-11,9,494,1.82%,8.9
2026-04-12,12,521,2.3%,11.4
2026-04-13,4,549,0.73%,11.2
2026-04-14,10,484,2.07%,11.2
2026-04-15,6,596,1.01%,12.7
2026-04-16,5,467,1.07%,10.9
2026-04-17,9,493,1.83%,11.3
2026-04-18,10,466,2.15%,11.7
2026-04-19,9,533,1.69%,11.2
2026-04-20,4,520,0.77%,10.5
2026-04-21,4,416,0.96%,12.3
2026-04-22,6,451,1.33%,13.8
2026-04-23,6,364,1.65%,11.5
2026-04-24,2,359,0.56%,11.4
2026-04-25,5,387,1.29%,10.1
2026-04-26,7,442,1.58%,12
2026-04-27,6,516,1.16%,9.5
2026-04-28,6,603,1%,8.1
2026-04-29,7,559,1.25%,11.8
2026-04-30,4,584,0.68%,7.9
2026-05-01,6,510,1.18%,7.3
2026-05-02,4,656,0.61%,7.2
2026-05-03,9,918,0.98%,7.1
2026-05-04,3,830,0.36%,7.5
2026-05-05,9,801,1.12%,6.7
2026-05-06,10,896,1.12%,9
2026-05-07,6,797,0.75%,7.1
2026-05-08,6,758,0.79%,7.1
2026-05-09,5,774,0.65%,6.7
2026-05-10,7,794,0.88%,8.3
2026-05-11,7,882,0.79%,7.4
2026-05-12,5,865,0.58%,7
2026-05-13,9,887,1.01%,8.3
2026-05-14,7,726,0.96%,7.8
2026-05-15,10,548,1.82%,10
2026-05-16,11,379,2.9%,13.8
2026-05-17,5,413,1.21%,14.1
2026-05-18,3,452,0.66%,11.5
2026-05-19,6,403,1.49%,12.1
2026-05-20,12,476,2.52%,16.6
2026-05-21,8,483,1.66%,9.8
2026-05-22,4,476,0.84%,9.4
2026-05-23,7,481,1.46%,10.5
2026-05-24,9,545,1.65%,9.2
2026-05-25,15,582,2.58%,11.5
2026-05-26,15,690,2.17%,10.4
2026-05-27,12,848,1.42%,8.7
2026-05-28,11,876,1.26%,6.5
2026-05-29,7,628,1.11%,7.8
2026-05-30,7,443,1.58%,9.5
2026-05-31,5,490,1.02%,11.6
2026-06-01,8,559,1.43%,9.6
2026-06-02,10,504,1.98%,7.8
2026-06-03,7,617,1.13%,11.7
2026-06-04,11,608,1.81%,11.7
2026-06-05,8,538,1.49%,13
2026-06-06,5,591,0.85%,10.2
2026-06-07,8,551,1.45%,9.9
2026-06-08,17,607,2.8%,9.4
2026-06-09,9,603,1.49%,9.8
2026-06-10,10,546,1.83%,10.3
2026-06-11,16,538,2.97%,9
2026-06-12,14,498,2.81%,8.5
2026-06-13,12,517,2.32%,9
2026-06-14,7,592,1.18%,9.6
2026-06-15,8,576,1.39%,8.7
2026-06-16,11,766,1.44%,10.3
2026-06-17,5,1057,0.47%,7.9
2026-06-18,9,1125,0.8%,8
2026-06-19,4,898,0.45%,7.4
2026-06-20,14,991,1.41%,7.6
2026-06-21,13,954,1.36%,8.4
2026-06-22,7,906,0.77%,7.6
2026-06-23,9,1064,0.85%,7.2
2026-06-24,4,774,0.52%,7.1
2026-06-25,7,699,1%,7.6
2026-06-26,9,528,1.7%,10.2
2026-06-27,7,500,1.4%,11.7
