Country,Clicks,Impressions,CTR,Position
United States,349,38011,0.92%,10.53
Canada,14,174,8.05%,7.05
Mexico,3,28,10.71%,15.96
United Kingdom,2,297,0.67%,19.93
Bahamas,2,34,5.88%,4.88
Puerto Rico,2,26,7.69%,5.38
Vietnam,1,35,2.86%,26.91
Colombia,1,13,7.69%,20.23
Trinidad & Tobago,1,12,8.33%,3.58
U.S. Virgin Islands,1,12,8.33%,7.33
South Africa,1,10,10%,23.2
Ukraine,1,8,12.5%,2.12
Costa Rica,1,5,20%,29
Guatemala,1,4,25%,12.5
Switzerland,1,3,33.33%,4
Montserrat,1,2,50%,2
Netherlands,0,248,0%,4.9
Germany,0,180,0%,9.61
Singapore,0,141,0%,21.23
Italy,0,90,0%,7.32
India,0,81,0%,23.35
Brazil,0,57,0%,26.82
Turkey,0,34,0%,29.18
Indonesia,0,33,0%,29.94
Spain,0,29,0%,29.28
Argentina,0,25,0%,24.8
Russia,0,23,0%,13.48
Pakistan,0,22,0%,27.36
Philippines,0,21,0%,28
Bangladesh,0,18,0%,30.44
Saudi Arabia,0,18,0%,43.78
France,0,16,0%,24.44
Australia,0,15,0%,27.73
Dominican Republic,0,13,0%,12.77
Egypt,0,13,0%,18.54
Jamaica,0,13,0%,19.08
Chile,0,13,0%,27.85
Nigeria,0,10,0%,8.2
Algeria,0,10,0%,35.3
Thailand,0,9,0%,25.22
United Arab Emirates,0,9,0%,35.22
Ghana,0,8,0%,11.12
Morocco,0,8,0%,19.62
Nepal,0,8,0%,21.5
Kenya,0,8,0%,37.5
Guyana,0,7,0%,3.57
Romania,0,7,0%,10.86
Venezuela,0,7,0%,21
Poland,0,6,0%,21.33
Peru,0,6,0%,23.17
Uzbekistan,0,6,0%,26.5
Ireland,0,6,0%,29.83
Iraq,0,6,0%,33.67
Cayman Islands,0,5,0%,2.6
China,0,5,0%,10.6
Bulgaria,0,5,0%,12.2
Malaysia,0,5,0%,22
Cuba,0,4,0%,3.5
Portugal,0,4,0%,9
Norway,0,4,0%,12.5
Greece,0,4,0%,35.5
Georgia,0,3,0%,3
Cyprus,0,3,0%,3.67
Belize,0,3,0%,4
Czechia,0,3,0%,6.67
Suriname,0,3,0%,7
Kazakhstan,0,3,0%,11
Nicaragua,0,3,0%,12
Israel,0,3,0%,12.33
Oman,0,3,0%,14
Sweden,0,3,0%,16.33
South Korea,0,3,0%,18.33
Ecuador,0,3,0%,22.67
Azerbaijan,0,3,0%,23.67
Jordan,0,3,0%,24
Tunisia,0,3,0%,29.67
Hungary,0,3,0%,31.67
Paraguay,0,3,0%,35.67
Angola,0,3,0%,45
Belgium,0,3,0%,47.67
Libya,0,3,0%,48
El Salvador,0,2,0%,1
New Zealand,0,2,0%,1.5
Liberia,0,2,0%,2.5
Iceland,0,2,0%,3
Mongolia,0,2,0%,3
Denmark,0,2,0%,5
Austria,0,2,0%,7
Uruguay,0,2,0%,9.5
Hong Kong,0,2,0%,15
Sri Lanka,0,2,0%,17.5
Palestine,0,2,0%,30
Honduras,0,2,0%,30.5
Myanmar (Burma),0,2,0%,36.5
Finland,0,2,0%,37
Syria,0,2,0%,41.5
Serbia,0,2,0%,43
Afghanistan,0,1,0%,2
Cameroon,0,1,0%,2
Gabon,0,1,0%,2
Togo,0,1,0%,2
Taiwan,0,1,0%,2
Kyrgyzstan,0,1,0%,3
St. Kitts & Nevis,0,1,0%,3
Turks & Caicos Islands,0,1,0%,3
Barbados,0,1,0%,4
Croatia,0,1,0%,4
Cambodia,0,1,0%,4
Lesotho,0,1,0%,4
St. Martin,0,1,0%,4
Uganda,0,1,0%,5
Somalia,0,1,0%,8
Bahrain,0,1,0%,10
Malta,0,1,0%,15
Fiji,0,1,0%,19
Madagascar,0,1,0%,31
Guam,0,1,0%,33
Senegal,0,1,0%,35
Caribbean Netherlands,0,1,0%,36
Cape Verde,0,1,0%,39
Albania,0,1,0%,43
Japan,0,1,0%,49
Lebanon,0,1,0%,52
Moldova,0,1,0%,76
Luxembourg,0,1,0%,78
Kosovo,0,1,0%,89
Ethiopia,0,1,0%,92
